Geography,State,County,City,Population,,,Median Household Income,Average Household Income,Household Income Distribution,,,,,,,,Race & Ethnicity ,,,,,,,,,Age & Sex,,,,,,,,,,,,,,,,,Median Age,Educational Attainment ,,,,,,Poverty,,Unemployment,,Homes,,,,,Households,,,,,,,Land Area (square miles),GEOID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,Families,Married Couple Families,,Single Parent Families,, Non-families (unrelated people sharing a home),,
,,,,Most Current Population Year,Population,Population Density (people per square mile),,,,,,,,,,,,,,,,,,,,Total,Female,,,,,,,,Male,,,,,,,,,,,,,,,,,,,Total,Occupied Homes,,,,,,Total,With Kids Under 18 Years,Total,With Kids Under 18 Years,,,
,,,,,,,,,Households,"Less than $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000+",Total,White,Black,Native,Asian,Islander,Other,Two or More,Hispanic or Latino,,0 to 9 Years,10 to 19 Years,20 to 29 Years,30 to 39 Years,40 to 49 Years,50 to 59 Years,60 to 69 Years,70+ Years,0 to 9 Years,10 to 19 Years,20 to 29 Years,30 to 39 Years,40 to 49 Years,50 to 59 Years,60 to 69 Years,70+ Years,70+ Years,Population 25+ Years,No Diploma,High School,Some College,Bachelors Degree,Advanced Degree,Family Households,Family Poverty,Civilian Labor Force 16+ Years,Unemployment Rate,,Occupied,Owner-Occupied,Renter-Occupied,Median Value of Owner-Occupied Homes,,,,,,,,,
name,state,county,city,most_current_pop_year,population,pop_dens_sq_mi,mhhi,avghhi,hhi_total_hh,hhi_hh_w_lt_25k,hhi_hh_w_25k_49k,hhi_hh_w_50k_74k,hhi_hh_w_75k_99k,hhi_hh_w_100k_149k,hhi_hh_w_150k_199k,hhi_hh_w_200k_plus,race_ethnicity_total,race_ethnicity_white,race_ethnicity_black,race_ethnicity_native,race_ethnicity_asian,race_ethnicity_islander,race_ethnicity_other,race_ethnicity_two,race_ethnicity_hispanic,age_total,age_f_0_9,age_f_10_19,age_f_20_29,age_f_30_39,age_f_40_49,age_f_50_59,age_f_60_69,age_f_70_plus,age_m_0_9,age_m_10_19,age_m_20_29,age_m_30_39,age_m_40_49,age_m_50_59,age_m_60_69,age_m_70_plus,median_age,edu_att_pop_25_plus,edu_att_no_diploma,edu_att_high_school,edu_att_some_college,edu_att_bachelors,edu_att_graduate,family_hh_total,family_poverty_pct,emp_status_civ_labor_force,unemployment_pct,housing_units,occupied_units,owner_occupied,renter_occupied,median_value_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families,aland_sq_mi,geoid
California,California,,,2023,"38,965,193",250,"$96,334","$136,730","13,434,847","1,695,075","1,863,599","1,782,312","1,583,411","2,402,692","1,497,056","2,610,702","39,242,785","13,573,226","2,076,395","107,379","5,906,995","132,838","209,918","1,605,204","15,630,830","39,242,785","2,231,393","2,529,232","2,629,815","2,803,677","2,506,466","2,460,086","2,212,340","2,263,894","2,336,432","2,657,702","2,766,892","2,971,177","2,557,576","2,468,201","2,080,218","1,767,684",38,"26,941,198",15%,20%,28%,22%,14%,"9,144,470",8%,"1,998,248,200%",6%,"14,532,683","13,434,847","7,494,811","5,940,036","$695,400","13,434,847","9,144,470","6,555,957","2,736,181","2,588,513","1,122,229","4,290,377","155,858",0400000US06
90001,California,Los Angeles,Florence-Graham; Huntington Park; Los Angeles,2023,"56,403","17,196","$60,751","$75,364","13,416","2,185","3,423","2,707","2,015","1,887",718,481,"56,403",461,"3,871",18,263,15,84,235,"51,456","56,403","4,205","4,859","4,361","3,834","3,791","3,000","2,304","1,740","4,027","4,480","4,568","4,420","4,163","3,186","2,230","1,235",32,"34,437",51%,24%,18%,5%,2%,"11,275",16%,"2,594,400%",10%,"13,998","13,416","4,775","8,641","$513,300","13,416","11,275","5,969","3,034","5,306","2,264","2,141",3,860Z200US90001
90002,California,Los Angeles,Florence-Graham; Los Angeles; Lynwood,2023,"52,735","17,622","$56,158","$71,839","13,319","3,125","2,834","2,440","2,018","1,834",637,431,"52,735",213,"7,910",101,720,17,58,497,"43,219","52,735","3,765","4,668","4,403","3,282","3,605","3,013","2,478","1,593","3,892","4,740","4,488","3,379","3,054","3,204","2,078","1,093",31,"31,197",47%,24%,21%,6%,2%,"10,522",21%,"2,441,400%",10%,"13,808","13,319","5,423","7,896","$502,600","13,319","10,522","4,693","2,205","5,829","2,603","2,797",3,860Z200US90002
90003,California,,,2023,"71,708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90004,California,,,2023,"58,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90005,California,,,2023,"38,747",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
