dmv_zip_code,population
94565,100826
92336,100571
91331,99804
92335,96704
90250,96200
90201,95134
92683,90630
92154,83758
95076,83716
95823,82983
93033,82517
93257,79217
93274,78831
90706,78352
94533,78129
94544,77712
95630,76599
91910,76313
93536,72131
94536,71445
91730,71040
91766,69517
95687,68996
93230,68572
95020,68365
93906,66883
94015,65125
94558,65084
92201,64325
92404,64090
95608,63715
90731,63431
90640,62294
92627,62181
92507,60949
95051,60499
93313,59924
92020,59775
95023,57367
93063,57075
93436,55591
91405,55451
92117,54499
92056,54190
90066,54142
93117,53345
93215,53334
93003,53283
90221,52119
95616,52090
95240,50245
92701,49462
91306,49460
92243,49193
92064,48783
92395,48479
90046,48170
93635,47683
92069,46648
93611,46620
92019,45937
93446,45720
95678,45210
92374,44976
91790,44855
93292,44759
92506,44344
95337,44192
90815,42759
90501,42536
95926,42362
90605,41427
93637,41324
90007,41004
95691,39961
94117,39496
95382,38727
92543,38403
94954,38201
92672,38020
94590,37991
90031,37457
95404,37437
95993,37222
91362,36770
94520,36699
95667,36084
95820,36024
94401,35392
94588,35162
94063,34807
96001,34721
95341,34541
93060,34337
91321,34305
92103,34296
92311,34226
95482,34183
93555,33490
93710,32730
93955,32610
91107,32581
96080,31190
93654,30476
93101,29870
96150,29457
93401,28773
95677,28591
95370,28548
95603,28366
91731,28201
90038,27979
92227,27540
95945,27388
92277,27370
92211,26741
93725,26568
94530,26483
95776,26352
92832,26040
92262,25856
92860,25367
95354,25100
95503,24072
90404,23975
95531,23029
93263,22952
91201,22163
96130,21460
92225,21189
95965,20835
93203,20781
95110,20314
96161,19146
93210,18937
93728,17892
94945,17309
94618,17285
93268,17124
93930,16807
95203,16237
95304,15235
95437,14865
93514,14692
93640,14162
93301,13672
95030,13373
90248,11453
95453,11254
95119,10461
94925,10155
96097,10154
95338,10102
95988,8748
95932,7789
96067,7321
95642,7152
95971,5931
92363,5447
92590,5212
95249,4908
96101,4824
96093,3959
96134,2236
96028,1805
95560,1337
