X,Y,FID,OBJECTID,Name,FAC_ID,ZIP,longitude,latitude,Address
-13419604.7752,5085274.9318,1,1,Alturas,F226,96101,-45859.172,386030.563,"903 West C Street
Alturas, CA 96101"
-13185265.2249,4062134.8462,2,2,Arleta,F209,91331,143161.203,-417616.563,"14400 Van Nuys Blvd.
Arleta, CA 91331"
-13228508.8418,4192690.2004,3,4,Arvin,F296,93203,106201.266,-311042,"317 Campus Drive
Arvin, CA 93203"
-13479057.1151,4708383.1536,4,5,Auburn,F277,95603,0,0,"11722 Enterprise Drive
Auburn, CA 95603"
-13249513.7277,4216764.2348,5,6,Bakersfield,F134,93301,88725.078,-291808.75,"3120 F Street
Bakersfield, CA 93301"
-13254441.591,4206573.6805,6,7,Bakersfield IBC/DSO,F429,93313,84899.1049,-300000.6488,"5800 District Blvd.
Bakersfield, CA 93313"
-13255884.0136,4207043.5303,7,8,Bakersfield Southwest,F261,93313,83587.57,-299879.5,"7000 Schirra Court
Bakersfield, CA 93313"
-13011905.4986,4018739.1857,8,9,Banning,F227,92220,0,0,"1034 West Ramsey St.
Suite B
Banning, CA 92220"
-13026554.395,4148516.7514,9,10,Barstow,F207,92311,0,0,"528 East Virginia Way
Barstow, CA 92311"
-13152358.3347,4024747.7092,10,11,Bell Gardens,F180,90201,171144.031,-448007,"6801 South Garfield Ave.
Bell Gardens, CA 90201"
-13150305.2062,4011833.5245,11,12,Bellflower,F160,90706,173001.953,-458532.813,"9520 East Artesia Blvd.
Bellflower, CA 90706"
-13181527.4942,4489650.9949,12,13,Bishop,F418,93514,140687.9517,-71630.2313,"1115 West Line Street
Bishop, CA  93514"
-12756801.1206,3975784.8554,13,14,Blythe,F239,92225,501509.344,-475934.938,"430B South Broadway
Blythe, CA 92225"
-12859906.8262,3892499.908,14,15,Brawley,F312,92227,418883.75,-549684.188,"1175 East Main Street
Brawley, CA 92227"
-13626130.1465,4535987.6487,15,16,Brisbane INV,F452,94005,-211880.9069,-33328.5539,"5 Thomas Melon Circle
Suite 168
San Francisco, CA*"
-13576844.7487,4435381.15,16,17,Capitola,F191,95010,-174485.797,-114274.445,"4200 Capitola Road
Capitola, CA 95010"
-13507875.3094,4668119.388,17,18,Carmichael,F157,95608,-116728.492,68253.07,"5209 North Avenue
Carmichael, CA 95608"
-13172319.128,3940449.3022,18,19,Catalina Travel Run,F397,90704,155637.9495,-518025.1086,"410 Avalon Canyon Road
Avalon, CA 90704"
-13564287.41,4830112.3922,19,20,Chico,F471,95926,-158484.6221,194601.7955,"107 Parmac Rd
Suite 1
Chico, CA 95926"
-13034072.1575,3849149.2222,20,21,Chula Vista,F181,91010,273815.094,-591504.375,"30 North Glover Avenue
Chula Vista, CA 91910"
-13153658.5676,4026945.0217,21,22,City of Commerce DSO,F378,90040,169903.7237,-446061.3496,"5801 E. Slauson Ave.
2nd Floor, Suite 250
Commerc*"
-13651460.3849,4716327.2563,22,23,Clearlake Travel Run,F356,95453,-228012.1183,108269.983,"Burns Valley Mall
14844 Olympic Drive
Clearlake, *"
-13322321.5463,4412589.9415,23,24,Clovis,F413,93612,28810.7662,-134198.4509,"2103 Shaw Avenue
Clovis, CA 93612"
-13398030.0835,4320336.8041,24,25,Coalinga,F381,93210,-32096.5743,-208161.5975,"406 East Elm Street
Coalinga, CA 93210"
-13581313.3157,4750854.3382,25,26,Colusa,F423,95932,-172923.1353,133869.4901,"1025 Bridge Street
Colusa, CA 95932"
-13159682.283,4012219.7395,26,27,Compton,F217,90221,165264.359,-458599.906,"2111 South Santa Fe Ave.
Compton, CA 90221"
-13587250.8326,4575874.508,27,28,Concord,F212,94520,-180351.094,-2612.437,"2070 Diamond Blvd.
Concord, CA 94520"
-13638586.2793,4570214.1971,28,29,Corte Madera,F135,94925,-220942.922,-6356.466,"75 Tamal Vista Blvd.
Corte Madera, CA 94925"
-13127400.412,3981113.835,29,30,Costa Mesa,F184,92627,192582.141,-483767.625,"650 West 19th Street
Costa Mesa, CA 92627"
-13824158.9972,5126844.5183,30,31,Crescent City,F222,95531,0,0,"1475 Parkway Drive
Crescent City, CA 95531"
-13181920.1631,4029097.9359,31,32,Culver City,F151,90066,146443.266,-444823.031,"11400 West Washington Blvd.
Los Angeles, CA 90066"
-13633615.632,4535612.8986,32,33,Daly City,F148,94015,-217581.188,-33695.008,"1500 Sullivan Avenue
Daly City, CA 94015"
-13550608.2495,4657317.093,33,34,Davis,F214,95616,-150216.672,60530.449,"505 Pole Line Road
Davis, CA 95618"
-13274166.2799,4268336.0382,34,35,Delano,F282,93215,68444.094,-250179.844,"631 Jefferson Street
Delano, CA 93215"
-13019911.3292,3871075.0936,35,36,El Cajon,F230,92021,285112,-572781.938,"1450 Graves Ave.
El Cajon, CA 92021"
