GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,,S1901_C01_002E,S1901_C01_002M,,S1901_C01_003E,S1901_C01_003M,,S1901_C01_004E,S1901_C01_004M,,S1901_C01_005E,S1901_C01_005M,,S1901_C01_006E,S1901_C01_006M,,S1901_C01_007E,S1901_C01_007M,,S1901_C01_008E,S1901_C01_008M,,S1901_C01_009E,S1901_C01_009M,,S1901_C01_010E,S1901_C01_010M,,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
Geography,Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"HH less than 10,000","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","HH $10,000 to $14,999","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","HH $15,000 to $24,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","HH $25,000 to $34,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","HH $35,000 to $49,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","HH $50,000 to $74,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","HH $75,000 to $99,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","HH $100,000 to $149,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","HH $150,000 to $199,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","HH $200,000 or more","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars),Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Families!!Total,Margin of Error!!Families!!Total,"Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more",Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Margin of Error!!Families!!Mean income (dollars),Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Married-couple families!!Total,Margin of Error!!Married-couple families!!Total,"Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more",Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Margin of Error!!Married-couple families!!Mean income (dollars),Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Nonfamily households!!Total,Margin of Error!!Nonfamily households!!Total,"Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more",Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars),Margin of Error!!Nonfamily households!!Mean income (dollars),Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months
8600000US89010,ZCTA5 89010,185,52,0,0,17.2,9.065,4.9,4.7,37.925,20.5,12.3,61.05,33,14.4,15.91,8.6,6.9,12.95,7,5.5,14.06,7.6,5.5,27.01,14.6,10.6,4.995,2.7,3.9,2.035,1.1,1.9,32847,5873,53109,10869,11.4,(X),(X),(X),(X),(X),113,40,0,26.1,0,26.1,7.1,8.1,34.5,20.3,11.5,10.3,6.2,5.5,12.4,8.3,23.9,15.6,4.4,6.3,0,26.1,44750,36650,66807,14392,(X),(X),7.1,(X),(X),(X),99,37,0,29,0,29,5.1,8.2,28.3,21.6,13.1,11.4,7.1,6.3,14.1,9.6,27.3,17.9,5.1,7.2,0,29,67813,55127,N,N,(X),(X),(X),(X),(X),(X),72,31,0,36.1,12.5,11.8,41.7,23.2,30.6,18.1,4.2,5.6,8.3,12,0,36.1,0,36.1,0,36.1,2.8,4.6,21429,12289,31610,10297,(X),(X),(X),(X),18.1,(X)
8600000US89019,ZCTA5 89019,1114,299,3.887,1.3,17.2,46.788,4.2,4,298.552,26.8,17.8,85.778,7.7,6.2,53.472,4.8,5.7,141.478,12.7,8.8,235.054,21.1,12.2,102.488,9.2,8,92.462,8.3,8.6,41.218,3.7,4.1,56765,40992,86818,33457,33.7,(X),(X),(X),(X),(X),489,142,0.6,6,2.5,3.9,12.5,15,14.5,12.5,2.2,2.4,6.7,11.1,20.9,19.5,22.7,17.6,9,10.9,8.4,9.5,89558,39339,131125,68003,(X),(X),52.8,(X),(X),(X),354,114,0,9.4,3.4,5.4,12.1,17.5,16.7,16.3,3.1,3.2,9.3,14,0,9.4,31.4,25.5,12.4,15,11.6,12.9,-,**,N,N,(X),(X),(X),(X),(X),(X),625,279,2.4,3.9,5.6,6.7,37.9,26.1,2.4,3.1,6.4,8.5,17.4,13.6,21.3,18.1,6.6,10.8,0,5.4,0,5.4,-,**,50086,16768,(X),(X),(X),(X),18.7,(X)
8600000US89060,ZCTA5 89060,4348,344,29.584,8.6,17.2,91.308,2.1,1.8,530.456,12.2,4,643.504,14.8,5,626.112,14.4,4.9,1000.04,23,6.8,582.632,13.4,3.4,295.664,6.8,2.7,108.7,2.5,1.4,100.004,2.3,1.9,45833,11604,56469,5309,44.3,(X),(X),(X),(X),(X),2584,314,7.7,5.7,2.3,2.3,9.4,3.8,11.5,5.9,11.8,4.4,29.1,9.1,14.7,5.2,8.4,3.9,1.4,1.6,3.7,3.2,52552,3416,60592,6998,(X),(X),50,(X),(X),(X),2271,328,8.3,6.4,2.6,2.6,7.7,4,10.1,6.1,12.3,4.9,29.8,10,15.9,6.2,8.1,4,1.6,1.9,3.5,3.6,53488,4275,N,N,(X),(X),(X),(X),(X),(X),1764,317,9.9,5.6,1.7,2.7,16.2,6.9,19.7,8.2,18.2,9.8,14.2,8.6,12.1,6.4,3.8,3.5,4,2.3,0.2,0.5,35592,7423,48517,6349,(X),(X),(X),(X),33.2,(X)
8600000US89061,ZCTA5 89061,2527,275,11.55,4.2,17.2,202.16,8,5,144.039,5.7,3.1,267.862,10.6,5.4,277.97,11,4.5,725.249,28.7,7.6,386.631,15.3,6,328.51,13,5.6,58.121,2.3,2,30.324,1.2,1.1,56865,4282,62940,5810,45.5,(X),(X),(X),(X),(X),1751,270,4.3,3.6,0.9,1.5,4.7,3.1,7,6.1,14.1,5.8,32.9,9.5,17.9,7.4,14.2,7.3,2.2,2.1,1.8,1.6,61148,7388,69431,6680,(X),(X),51.7,(X),(X),(X),1496,250,3.3,3.6,1.1,1.8,3.7,3.4,7.4,7,11,5.1,33.2,10.2,21,8.5,14.6,8.2,2.5,2.4,2.1,1.9,65688,9774,N,N,(X),(X),(X),(X),(X),(X),776,176,4,4.7,23.8,13.4,7.9,7.3,20.4,10.2,4,4.5,17.7,9.4,9.3,7.4,10.4,6.7,2.6,4.2,0,4.4,33474,6533,47327,9950,(X),(X),(X),(X),31.4,(X)
8600000US89439,ZCTA5 89439,633,100,2.7,2.7,17.2,51.906,8.2,5.8,17.724,2.8,4.4,60.768,9.6,7.7,93.684,14.8,7.9,136.095,21.5,9.9,53.805,8.5,8.3,98.115,15.5,9.1,36.714,5.8,5.4,65.832,10.4,7.9,60547,13828,89705,21963,38.7,(X),(X),(X),(X),(X),434,90,0,7.7,0,7.7,4.1,6.4,3.9,6.2,9.7,8.8,27.4,13.1,12.4,12,18.7,12.1,8.5,7.9,15.2,11.7,81875,25572,113306,31628,(X),(X),46.1,(X),(X),(X),418,92,0,8,0,8,4.3,6.6,4.1,6.4,10,9.1,28.5,13.2,9.1,11,19.4,12.6,8.9,8.2,15.8,12.2,87845,36252,N,N,(X),(X),(X),(X),(X),(X),199,73,8.5,13.5,26.1,19.3,0,16.1,22.1,20,26.1,22,8.5,13.3,0,16.1,8.5,13.1,0,16.1,0,16.1,33750,7190,37521,15759,(X),(X),(X),(X),19.1,(X)
8600000US90001,ZCTA5 90001,13689,615,43.665,7.1,17.2,766.584,5.6,1.2,1423.656,10.4,1.4,1697.436,12.4,1.9,2149.173,15.7,1.7,2888.379,21.1,2.9,1820.637,13.3,2.4,1437.345,10.5,1.4,424.359,3.1,0.9,95.823,0.7,0.4,48011,3936,57935,2076,49.9,(X),(X),(X),(X),(X),11289,599,5,1.3,3,1,9.7,1.6,14.4,2.6,17.4,2,22,3.3,14.4,3,10.3,1.5,3.1,0.8,0.6,0.3,50344,3547,59620,2200,(X),(X),50.4,(X),(X),(X),6094,474,2,1.2,1.5,1.1,9.9,2.2,12.7,2.9,16.1,3.2,23.8,4.8,15.8,3.4,13.4,2.5,4.2,1.4,0.8,0.5,58167,5291,N,N,(X),(X),(X),(X),(X),(X),2400,297,20.3,4.7,17.5,5.1,18,4.1,11.2,3.2,13,4.8,12.3,4.2,1.5,1.4,5.8,2.7,0.2,0.3,0.2,0.3,21458,4339,31940,3831,(X),(X),(X),(X),39.3,(X)
8600000US90002,ZCTA5 90002,12961,633,54.438,8.6,17.2,1166.49,9,1.5,1749.735,13.5,2.2,1309.061,10.1,1.8,2008.955,15.5,2.7,2553.317,19.7,2.7,1386.827,10.7,2.3,1140.568,8.8,1.8,272.181,2.1,0.8,259.22,2,0.8,42245,3094,54170,2801,49.2,(X),(X),(X),(X),(X),10493,642,7.9,1.8,6.7,2,12.9,2.6,10.6,2.2,16.2,3.1,22.2,3.3,10.4,2.3,8.7,1.9,2.5,0.9,1.9,1,45417,4513,55762,3365,(X),(X),50.2,(X),(X),(X),5089,391,1.5,1.1,4.2,1.8,11,3,10.6,3.1,15.8,3.1,26.2,4.7,12.1,3.1,13,3,3.7,1.7,2,1.3,56556,3882,N,N,(X),(X),(X),(X),(X),(X),2468,346,16.3,5.1,23.6,5.5,18.3,5,9.6,3.5,12.3,5.3,13.3,4.3,4.1,2.5,1.8,1.5,0,1.6,0.7,1.1,20671,3842,30966,4389,(X),(X),(X),(X),40.8,(X)
8600000US90003,ZCTA5 90003,17542,580,56.84,9.8,17.2,1263.024,7.2,1.3,2175.208,12.4,1.7,1929.62,11,1.7,2929.514,16.7,2,3192.644,18.2,2,1982.246,11.3,1.3,1666.49,9.5,1.4,526.26,3,0.9,175.42,1,0.4,42220,1662,54272,2169,55.1,(X),(X),(X),(X),(X),14376,609,7.9,1.6,5.9,1.4,12.3,2,12.4,1.9,15.7,2.3,20.2,2.4,11.5,1.7,10.6,1.7,2.7,0.9,0.7,0.3,44595,2954,55637,2324,(X),(X),56,(X),(X),(X),6846,497,2.9,1.5,2.6,1,8.6,1.9,10.6,2.6,17.6,3.4,24.8,3.7,13,2.6,14.8,3,4.3,1.6,0.8,0.5,56653,3880,66307,3414,(X),(X),(X),(X),(X),(X),3166,298,23.9,4.8,18.8,4.1,16.9,5.1,9.9,3.5,14.1,4.1,9.8,3.7,4,2,2.4,1.4,0.2,0.3,0,1.3,18478,2496,27484,2843,(X),(X),(X),(X),39.8,(X)
8600000US90004,ZCTA5 90004,22528,868,47.74,5.5,17.2,1058.816,4.7,1,2162.688,9.6,1.6,2387.968,10.6,1.3,3672.064,16.3,1.9,4212.736,18.7,2,2433.024,10.8,1.5,2342.912,10.4,1.4,991.232,4.4,0.8,2050.048,9.1,1.4,52775,2541,92624,5360,34.3,(X),(X),(X),(X),(X),12310,642,4.8,1.2,2.6,1,9.1,1.7,11.3,2,14.3,2.1,18.3,2.5,10.5,2,12.2,1.9,4.6,1.2,12.3,2.4,58073,6096,109018,8914,(X),(X),37.3,(X),(X),(X),8089,594,2.8,1.1,1.1,0.7,6.9,1.9,8.6,1.9,13.8,2.3,20,2.8,11.4,2.5,15.1,2.6,5.4,1.7,15,3,71074,3869,N,N,(X),(X),(X),(X),(X),(X),10218,700,7.9,2.2,7.3,1.8,12.1,3,9.7,1.7,17.6,3.4,18.6,3,10.4,2.2,8.3,2,4.1,1.5,4.1,1.1,46222,4224,67522,5705,(X),(X),(X),(X),29,(X)
