#,Birth,Death,Persistence,Death simplex
1,134.5,187.5,53.0,"Weaverville, Redding, Eureka"
2,122.6,169.7,47.0,"Rancho San Diego Industry Business Center, Palm Springs, Brawley"
3,91.5,127.4,35.9,"Susanville, Red Bluff, Chico"
4,73.3,108.9,35.5,"Los Banos, Hollister, Coalinga"
5,117.2,149.5,32.3,"Taft, Santa Barbara, San Luis Obispo"
6,80.7,106.7,26.0,"Pleasanton, Modesto, Los Banos"
7,86.0,110.8,24.8,"Novato, Lakeport, Colusa"
8,179.8,199.8,20.0,"Yreka, Weaverville, Crescent City"
9,96.0,115.6,19.6,"Temecula, Oceanside, Gardena Commercial Drive Test Center"
10,98.0,116.9,18.8,"Truckee, Quincy, Oroville"
11,233.1,251.1,18.0,"Truckee, South Lake Tahoe, Bishop"
12,113.5,131.0,17.5,"Victorville, Lancaster, Lake Isabella"
13,233.5,251.0,17.4,"Mariposa, Bishop, Arvin"
14,44.9,55.1,10.1,"Yuba City, Oroville, Colusa"
15,98.2,107.1,8.9,"Truckee, South Lake Tahoe, Placerville"
16,23.5,32.3,8.8,"San Mateo, Oakland, Fremont"
17,31.9,32.5,0.6,"Watsonville, Seaside, Salinas"
18,83.7,84.2,0.4,"West Sacramento Commercial Drive Test Center, Stockton, Pleasanton"
19,31.2,31.3,0.1,"Santa Clara, San Jose, Redwood City"
