ZIP,Total,Two or More Races,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Other Race
90001,56403,16438,10954,4183,1481,306,38,51456,23003
90002,52735,12048,8167,8154,1609,894,17,43219,21846
90003,71708,14175,9242,12009,771,265,0,58066,35246
90004,58844,6309,16227,2668,800,14836,51,27055,17953
90005,38747,5642,7181,2150,676,12624,9,18498,10465
90006,55192,8060,8989,1889,991,10497,58,39104,24708
90007,39253,5636,11502,3354,445,7315,141,20643,10860
90008,33443,3238,3012,20684,340,1200,26,9021,4943
90010,4478,113,881,264,32,2947,0,391,241
90011,102784,26917,13673,6276,1933,642,175,94292,53168
90012,37463,3891,8563,4723,347,13265,51,10684,6623
90013,14891,2485,4654,3461,220,2834,82,3661,1155
90014,9540,1120,3065,2081,33,2149,18,2173,1074
90015,25257,2929,6747,2375,947,6101,0,11442,6158
90016,46102,8454,11228,12946,246,1885,67,23800,11276
90017,28981,2644,5868,3782,328,5312,0,16351,11047
90018,48812,7579,10598,11933,298,2800,63,27880,15541
90019,59288,7745,16003,10498,532,10319,41,25311,14150
90020,38361,4186,6663,2252,385,16959,66,13274,7850
90021,3152,477,800,668,45,170,0,1523,992
90022,61638,12073,13348,297,1556,702,30,59548,33632
90023,44608,7537,7194,298,856,460,2,42851,28261
90024,50830,4529,26772,2332,187,13825,170,6818,3015
90025,45238,4445,26492,1711,78,9454,30,6785,3028
90026,62902,8272,24131,2389,826,8514,354,29062,18416
90027,46049,4591,28502,1945,236,5563,31,10402,5181
90028,31441,3813,14761,2700,520,4202,11,9513,5434
90029,33830,3293,10753,1512,355,5836,11,16548,12070
90031,36881,3884,5691,769,683,10896,283,21195,14675
90032,43724,8431,10191,1367,834,5275,0,32305,17626
90033,46540,5923,7191,851,1184,2114,24,41788,29253
90034,55120,7330,24910,5329,543,10124,129,14126,6755
90035,27851,2992,18527,2138,74,1988,29,3804,2103
90036,38784,4374,22118,2806,190,7548,20,5058,1728
90037,67895,10445,11565,10396,1869,835,102,54156,32683
90038,27807,4065,11031,1944,460,2176,102,13532,8029
90039,28572,4135,14118,533,269,5500,0,8976,4017
90040,11683,2628,3032,87,643,223,0,11009,5070
90041,27351,4722,10956,423,347,6976,20,9152,3907
90042,58344,12743,19292,1132,1957,7969,6,32960,15245
90043,43548,6774,4605,25750,331,896,74,11467,5118
90044,95859,21905,9892,28481,1239,669,127,64416,33546
90045,42352,7119,22806,3553,365,6859,87,8080,1563
90046,48905,6401,33761,2687,235,3408,66,8008,2347
90047,50925,6612,4383,27355,529,582,414,19707,11050
90048,20796,1903,15630,950,4,1608,0,1571,701
90049,36735,3794,28351,560,65,3338,55,3033,572
90052,0,0,0,0,0,0,0,0,0
90056,8908,1502,1089,5539,65,394,0,1368,319
90057,45548,4810,7689,3117,1849,8204,44,31113,19835
90058,3409,413,1371,379,0,23,2,2580,1221
90059,38015,7212,4839,9556,490,411,6,26787,15501
90061,28478,6391,3862,7512,945,229,25,19886,9514
90062,32110,4733,4443,8353,490,638,55,20322,13398
90063,50536,6488,9103,200,1200,1075,23,47331,32447
90064,26494,3656,15235,986,46,5010,64,3702,1497
90065,45075,8791,15467,720,1206,6253,7,23652,12631
90066,54975,7322,30150,2682,439,8699,40,13600,5643
90067,3165,523,1925,101,0,616,0,156,0
90068,21569,1965,15708,1634,33,1336,51,2781,842
90069,20318,1608,16394,661,57,1233,0,1684,365
90071,304,87,44,86,0,0,0,130,87
90073,1053,84,641,140,29,50,12,236,97
90077,8158,717,6355,93,0,815,0,538,178
90079,0,0,0,0,0,0,0,0,0
90089,4777,419,1820,392,54,1587,0,989,505
90094,12127,1755,6911,1016,0,2051,0,1530,394
90095,0,0,0,0,0,0,0,0,0
90201,93783,41117,27139,1365,1047,574,86,88464,22455
90210,19652,1482,16179,398,45,1295,0,1137,253
90211,8871,551,6044,131,0,1739,0,493,406
90212,10834,1081,7913,272,0,1268,0,926,300
90220,49156,11011,6151,13839,736,595,85,32842,16739
90221,50782,16657,7268,9417,856,541,188,40062,15855
90222,32173,6745,5617,7739,396,461,0,23448,11215
90230,31570,6311,14665,2530,80,5275,86,9462,2623
90232,16804,2606,9215,666,112,3548,0,3164,657
90240,25326,5662,7328,1087,508,2449,53,18108,8239
90241,45484,10121,14165,1432,1071,3095,45,34254,15555
90242,40983,9054,11857,1616,702,2698,227,31772,14829
90245,16863,3306,10589,473,28,1948,0,3501,519
90247,47303,8890,6234,7265,752,11810,9,23501,12343
90248,11144,1388,1721,2359,103,3626,9,3412,1938
90249,25967,4576,5035,5911,873,4126,50,11843,5396
90250,94991,19158,24282,22051,1606,6970,448,51863,20476
90254,19248,2810,14371,113,20,1428,8,1898,498
90255,70363,21596,15555,415,1531,463,144,68234,30659
90260,32379,9143,10445,1782,659,3359,31,21147,6960
90262,64918,15475,15353,5381,1447,467,11,57255,26784
90263,1895,178,984,186,0,473,0,327,74
90265,15914,1632,12469,181,40,746,0,1511,846
90266,34584,3454,25590,230,70,4757,38,2639,445
90270,24522,7342,4666,218,780,194,14,23926,11308
90272,21438,2006,17703,198,0,1379,0,898,152
