,Alturas,Arleta,Arvin,Auburn,Bakersfield,Bakersfield Southwest,Barstow,Bell Gardens,Bellflower,Blythe,Brawley,Carmichael,Chico,Chula Vista,Clovis,Coalinga,Compton,Concord,Corte Madera,Costa Mesa,Crescent City,Culver City,Daly City,Davis,Delano,El Cajon,El Centro,El Cerrito,El Monte,Eureka,Fairfield,Fall River Mills,Folsom,Fontana,Fontana Commercial Drive Test Center,Fort Bragg,Fremont,Fresno,Fresno Commercial Drive Test Center,Fresno North,Fullerton,Garberville,Gardena Commercial Drive Test Center,Gilroy,Glendale,Goleta,Grass Valley,Hanford,Hawthorne,Hayward,Hemet,Hollister,Hollywood,Indio,Jackson,King City,Lake Isabella,Lakeport,Lancaster,Lincoln Park,Lodi,Lompoc,Long Beach,Los Angeles,Los Banos,Los Gatos,Madera,Manteca,Mariposa,Mendota,Merced,Modesto,Montebello,Mt Shasta,Napa,Needles,Newhall,Norco,Novato,Oakland,Oceanside,Oroville,Oxnard,Palm Desert,Palm Springs,Pasadena,Paso Robles,Petaluma,Pittsburg,Placerville,Pleasanton,Pomona,Porterville,Poway,Quincy,Rancho Cucamonga,Rancho San Diego Industry Business Center,Red Bluff,Redding,Redlands,Redwood City,Reedley,Ridgecrest,Riverside,Riverside East,Rocklin,Roseville,Sacramento,Sacramento South,Salinas,San Andreas,San Bernardino,San Clemente,San Diego,San Diego Clairemont,San Francisco,San Jose,San Luis Obispo,San Marcos,San Mateo,San Pedro,San Ysidro,Santa Ana,Santa Barbara,Santa Clara,Santa Monica,Santa Paula,Santa Rosa,Santa Teresa,Seaside,Shafter,Simi Valley,Sonora,South Lake Tahoe,Stockton,Susanville,Taft,Temecula,Thousand Oaks,Torrance,Tracy,Truckee,Tulare,Tulelake,Turlock,Twentynine Palms,Ukiah,Vacaville,Vallejo,Van Nuys,Ventura,Victorville,Visalia,Watsonville,Weaverville,West Covina,West Hollywood,West Sacramento Commercial Drive Test Center,Westminster,Whittier,Willows,Winnetka,Woodland,Yreka,Yuba City
Alturas,0.0,600.3,558.95,261.55,535.1666666666666,544.55,569.85,634.5666666666667,641.4833333333333,769.1166666666667,752.7,290.28333333333336,219.6833333333333,719.2166666666667,455.95,464.06666666666666,635.5833333333334,322.3833333333333,341.85,660.1166666666667,303.3,616.7,351.21666666666664,287.6666666666667,510.6666666666667,715.4833333333333,765.3,328.95,633.0666666666667,336.65,300.6166666666667,74.68333333333334,288.65,621.6333333333333,627.0,397.6333333333333,363.31666666666666,440.01666666666665,443.7166666666666,447.26666666666665,649.3,384.3666666666667,633.4833333333333,393.4,610.0333333333333,613.2833333333333,253.66666666666663,477.95,628.9833333333333,353.7333333333333,664.05,409.5833333333333,615.3833333333333,681.8333333333334,313.2,461.95,502.55,310.9833333333333,564.3,622.6,322.71666666666664,584.1,640.2833333333333,625.35,402.3333333333333,378.8666666666667,423.7166666666666,346.76666666666665,439.4333333333333,439.45,391.05,360.7,631.8166666666667,132.36666666666667,312.18333333333334,672.3,593.5333333333333,629.7166666666667,335.7,335.6333333333333,696.35,240.86666666666667,651.7833333333333,675.3166666666667,668.85,621.9333333333333,504.25,344.68333333333334,333.2,298.8333333333333,343.8666666666667,638.55,513.7,702.4,192.6,626.6166666666667,724.0166666666667,178.65,154.25,625.4833333333333,367.8,470.31666666666666,498.31666666666666,631.5166666666667,632.15,271.21666666666664,278.0,295.3333333333333,296.3333333333333,418.4333333333333,334.03333333333336,619.0166666666667,672.7833333333333,710.75,711.7666666666667,350.3333333333333,373.25,530.7166666666667,687.3833333333333,357.96666666666664,636.7,726.05,657.1666666666666,619.5333333333333,378.25,617.2,628.0666666666667,354.75,378.2,428.76666666666665,529.65,611.45,374.81666666666666,228.53333333333333,336.0833333333333,104.18333333333334,544.1166666666667,661.8666666666667,623.6833333333333,633.8333333333334,353.2333333333333,197.85,481.9,68.15,372.23333333333335,671.3,335.7333333333333,289.71666666666664,313.8833333333333,604.2833333333333,640.7333333333333,584.7,480.9166666666667,417.1166666666667,201.83333333333331,640.1333333333333,618.5,293.31666666666666,650.4,645.4666666666667,217.7333333333333,615.3,278.0833333333333,162.15,268.3333333333333
Arleta,598.5666666666667,0.0,89.1,363.56666666666666,93.3,91.81666666666666,117.61666666666666,42.2,49.11666666666667,223.55,207.13333333333333,345.9833333333333,415.7166666666666,148.35,197.56666666666663,171.65,44.266666666666666,317.6333333333333,341.35,72.06666666666666,682.4,28.633333333333333,336.9833333333333,344.15,116.96666666666668,145.6,219.7333333333333,328.95,40.71666666666667,582.8666666666667,336.4166666666667,543.4666666666667,351.06666666666666,65.76666666666667,68.25,502.15,314.3666666666667,186.25,180.4833333333333,190.85,56.95,524.0,45.05,268.45,17.666666666666668,100.46666666666668,393.9333333333333,164.88333333333333,40.93333333333333,313.71666666666664,115.25,263.4166666666667,23.016666666666666,136.26666666666668,342.2,224.01666666666668,129.68333333333334,445.53333333333336,56.98333333333333,30.23333333333333,300.6166666666667,143.76666666666668,52.23333333333333,32.983333333333334,229.9,300.2,205.35,284.8666666666667,263.5833333333333,202.11666666666667,234.9833333333333,269.18333333333334,39.45,525.9833333333333,344.03333333333336,248.08333333333331,18.95,70.81666666666666,351.71666666666664,320.0833333333333,112.21666666666668,394.31666666666666,65.4,129.75,123.28333333333332,30.1,182.11666666666667,362.1833333333333,319.4166666666667,368.1333333333333,299.95,57.016666666666666,142.71666666666667,141.91666666666666,488.15,61.75,153.7,444.9,470.53333333333336,79.73333333333333,319.21666666666664,176.33333333333334,125.13333333333334,79.6,80.15,352.9833333333333,356.7333333333333,333.78333333333336,326.76666666666665,265.1166666666667,329.4,73.56666666666666,88.65,138.1,135.21666666666667,337.96666666666664,298.46666666666664,179.46666666666667,124.3,326.1,48.65,154.0,64.8,88.61666666666666,307.26666666666665,29.15,53.31666666666667,372.4166666666667,291.01666666666665,283.95,108.96666666666668,25.066666666666663,305.06666666666666,419.2,289.28333333333336,513.65,101.08333333333331,101.28333333333332,37.3,45.78333333333333,285.05,428.4666666666666,147.63333333333333,611.8833333333333,261.4833333333333,164.6,427.6666666666667,346.46666666666664,335.26666666666665,16.233333333333334,60.81666666666667,92.36666666666666,159.85,292.56666666666666,519.1,47.766666666666666,26.133333333333333,331.7333333333333,62.35,53.11666666666667,404.1333333333333,27.2,350.7333333333333,558.0,370.35
Arvin,559.2666666666667,88.8,0.0,301.6666666666667,29.55,28.25,112.7,123.05,129.98333333333332,303.8666666666667,287.46666666666664,284.6333333333333,357.71666666666664,226.56666666666663,133.83333333333334,113.65,124.08333333333331,259.6333333333333,283.35,148.61666666666667,624.4,105.18333333333334,278.9833333333333,286.15,53.23333333333333,223.81666666666663,300.06666666666666,270.93333333333334,121.56666666666666,524.8666666666667,278.4,485.4666666666666,290.15,146.1,148.58333333333334,444.15,256.3666666666667,122.51666666666668,116.73333333333332,127.11666666666666,137.8,466.0,121.96666666666668,210.45,98.53333333333332,152.18333333333334,332.03333333333336,101.15,117.48333333333332,255.71666666666667,195.58333333333331,205.4,103.88333333333334,216.6,281.35,166.01666666666668,103.13333333333334,387.53333333333336,79.73333333333333,111.1,239.25,195.4833333333333,128.78333333333333,113.85,171.88333333333333,242.2,141.61666666666667,224.26666666666668,199.85,144.11666666666667,171.25,205.45,120.31666666666666,467.98333333333335,286.03333333333336,243.15,80.26666666666667,151.15,293.71666666666664,262.0833333333333,190.45,336.31666666666666,131.4,210.06666666666663,203.6,110.43333333333334,124.11666666666666,304.18333333333334,261.4166666666667,307.21666666666664,241.95,137.35,78.98333333333333,220.13333333333333,430.1333333333333,142.08333333333334,231.91666666666663,386.9,412.53333333333336,160.05,261.21666666666664,112.6,98.58333333333331,159.93333333333334,160.48333333333332,291.0833333333333,294.8333333333333,272.4166666666667,265.4166666666667,207.1,265.6666666666667,153.9,166.86666666666667,216.33333333333331,213.45,279.96666666666664,240.46666666666667,150.9,202.51666666666668,268.1,125.2,232.21666666666667,145.66666666666666,140.31666666666666,249.26666666666668,105.7,101.46666666666668,314.4166666666667,233.01666666666668,225.95,43.21666666666667,99.93333333333334,241.33333333333331,377.0833333333333,231.28333333333333,474.35,48.81666666666667,181.61666666666667,112.18333333333334,122.33333333333331,227.05,366.56666666666666,83.9,553.8833333333333,197.75,214.15,369.65,288.46666666666664,277.25,92.78333333333332,114.13333333333334,128.96666666666667,96.11666666666666,234.56666666666663,461.1,128.63333333333333,106.98333333333332,273.7333333333333,138.88333333333333,133.96666666666667,346.1333333333333,103.8,292.71666666666664,499.98333333333335,312.35
Auburn,263.65,360.3333333333333,301.8833333333333,0.0,278.1,287.46666666666664,397.95,394.5833333333333,401.51666666666665,575.4,559.0,33.2,98.76666666666668,498.1,198.86666666666667,209.0,395.6166666666667,95.4,114.86666666666666,420.15,414.0833333333333,376.7166666666666,124.23333333333332,49.4,253.58333333333331,495.35,571.6,101.96666666666668,393.1,321.1166666666667,73.63333333333334,239.36666666666667,31.566666666666663,417.6333333333333,420.1166666666667,240.4,136.33333333333334,182.9333333333333,186.63333333333333,190.1833333333333,409.3333333333333,262.25,393.5,166.41666666666666,370.06666666666666,386.3,33.083333333333336,220.86666666666667,389.01666666666665,126.75,467.1166666666667,176.75,375.4166666666667,488.1333333333333,80.86666666666666,234.96666666666667,388.3833333333333,153.73333333333332,357.7333333333333,382.6333333333333,65.63333333333334,357.1,400.31666666666666,385.3833333333333,147.26666666666668,151.88333333333333,166.63333333333333,89.7,179.81666666666666,184.38333333333333,133.96666666666667,103.61666666666666,391.85,221.88333333333333,85.18333333333334,528.4,351.81666666666666,422.6833333333333,108.71666666666668,108.65,461.98333333333335,77.36666666666666,402.9333333333333,481.6166666666667,475.1333333333333,381.9666666666666,276.76666666666665,117.7,106.21666666666668,43.56666666666667,116.88333333333334,408.8833333333333,256.6333333333333,491.6666666666667,147.43333333333334,413.6166666666667,503.45,140.26666666666668,166.41666666666666,431.5833333333333,140.8,213.2333333333333,383.8333333333333,431.4666666666666,432.01666666666665,14.133333333333333,20.933333333333334,38.25,39.25,191.45,101.13333333333334,425.4333333333333,438.4,487.8666666666667,484.98333333333335,123.35,146.25,303.7333333333333,474.05,130.98333333333332,396.73333333333335,503.75,417.2,392.55,151.26666666666668,377.23333333333335,373.0,127.76666666666668,151.21666666666667,201.76666666666668,274.1,371.4666666666666,141.91666666666666,118.21666666666668,79.0,178.73333333333332,289.05,453.15,383.7166666666666,393.8666666666667,98.16666666666669,70.95,224.81666666666663,307.76666666666665,115.16666666666669,499.4,178.48333333333332,63.61666666666667,86.9,364.31666666666666,385.6666666666667,414.23333333333335,223.85,190.13333333333333,215.0,400.1666666666667,378.53333333333336,37.91666666666666,410.4333333333333,405.5,103.98333333333332,375.3333333333333,50.583333333333336,253.88333333333333,56.21666666666667
Bakersfield,535.9,93.08333333333331,30.883333333333333,278.28333333333336,0.0,15.9,126.95,127.33333333333331,134.25,308.15,291.7333333333333,261.25,336.35,230.83333333333331,110.46666666666668,102.06666666666666,128.35,248.03333333333333,271.76666666666665,152.9,612.8166666666667,109.46666666666668,267.4,264.2333333333333,29.866666666666667,228.1,304.35,259.35,125.85,513.2833333333333,266.81666666666666,464.1,266.78333333333336,150.36666666666667,152.85,432.55,244.78333333333333,99.15,93.36666666666666,103.75,142.08333333333334,454.4166666666667,126.25,198.86666666666667,102.8,156.45,308.6666666666667,77.76666666666667,121.75,244.11666666666667,199.85,193.81666666666663,108.15,220.88333333333333,257.9833333333333,154.71666666666667,116.65,374.51666666666665,90.48333333333332,115.36666666666666,215.88333333333333,193.0,133.05,118.11666666666666,160.3,230.61666666666667,118.25,200.9,176.48333333333332,132.53333333333333,147.86666666666667,182.08333333333331,124.58333333333331,446.6166666666667,274.45,257.4166666666667,84.55,155.43333333333334,282.1333333333333,250.4833333333333,194.71666666666667,314.95,135.66666666666666,214.35,207.88333333333333,114.7,112.81666666666666,292.5833333333333,249.83333333333331,283.8333333333333,230.35,141.63333333333333,55.61666666666667,224.41666666666663,408.78333333333336,146.36666666666667,236.2,365.53333333333336,391.1666666666667,164.33333333333334,249.61666666666667,89.21666666666667,112.75,164.21666666666667,164.75,267.71666666666664,271.46666666666664,249.05,242.05,195.81666666666663,242.3,158.18333333333334,171.15,220.6,217.71666666666667,268.3833333333333,228.88333333333333,139.61666666666667,206.78333333333333,256.51666666666665,129.46666666666667,236.5,149.93333333333334,144.6,237.6833333333333,109.96666666666668,105.75,302.81666666666666,221.41666666666663,214.65,19.85,104.21666666666668,217.96666666666667,353.71666666666664,210.25,450.98333333333335,44.81666666666667,185.88333333333333,116.45,126.6,209.75,343.2,60.53333333333333,532.5166666666667,174.38333333333333,228.41666666666663,358.06666666666666,276.7333333333333,265.6666666666667,97.05,118.4,143.23333333333332,72.75,223.28333333333333,439.73333333333335,132.9,111.26666666666668,251.8,143.16666666666666,138.25,324.76666666666665,108.06666666666666,271.3666666666667,478.6333333333333,290.9833333333333
Bakersfield Southwest,545.2,90.21666666666668,28.433333333333334,287.96666666666664,15.85,0.0,128.4,124.46666666666668,131.4,305.28333333333336,288.8833333333333,270.93333333333334,343.8333333333333,227.9833333333333,120.13333333333334,99.78333333333332,125.5,245.75,269.4833333333333,150.03333333333333,610.5333333333333,106.6,265.1166666666667,272.28333333333336,39.53333333333333,225.2333333333333,301.4833333333333,257.06666666666666,122.98333333333332,511.0,264.53333333333336,471.6,276.45,147.51666666666668,150.0,430.26666666666665,242.5,108.81666666666666,103.03333333333332,113.41666666666669,139.21666666666667,452.1333333333333,123.38333333333334,196.58333333333331,99.95,153.6,318.3333333333333,87.45,118.9,241.83333333333331,197.0,191.53333333333333,105.3,218.01666666666668,267.65,152.13333333333333,118.83333333333331,373.65,87.61666666666666,112.51666666666668,225.55,190.41666666666663,130.2,115.26666666666668,158.01666666666668,228.33333333333331,127.91666666666669,210.56666666666663,186.15,130.25,157.53333333333333,191.75,121.73333333333332,454.1166666666667,272.15,258.85,81.68333333333334,152.56666666666666,279.85,248.2,191.86666666666667,322.43333333333334,132.81666666666666,211.4833333333333,205.01666666666668,111.85,110.25,290.3,247.55,293.51666666666665,228.06666666666663,138.76666666666668,65.28333333333333,221.55,416.26666666666665,143.5,233.33333333333331,373.03333333333336,398.65,161.46666666666667,247.33333333333331,98.9,114.28333333333332,161.35,161.9,277.3833333333333,281.1333333333333,258.71666666666664,251.71666666666667,193.2333333333333,251.96666666666667,155.31666666666666,168.28333333333333,217.75,214.86666666666667,266.1,226.6,137.03333333333333,203.9333333333333,254.2333333333333,126.61666666666666,233.63333333333333,147.08333333333334,141.73333333333332,235.4,107.11666666666666,102.88333333333334,300.53333333333336,219.13333333333333,212.06666666666663,29.516666666666666,101.35,227.63333333333333,363.3833333333333,217.4,462.03333333333336,37.7,183.03333333333333,113.6,123.75,213.16666666666663,352.8666666666667,70.2,540.0,184.05,229.85,355.78333333333336,274.6,263.3833333333333,94.2,115.55,144.68333333333334,82.41666666666667,220.7,447.23333333333335,130.05,108.4,259.85,140.3,135.38333333333333,332.26666666666665,105.21666666666668,278.85,486.1166666666667,298.46666666666664
Barstow,565.2666666666667,118.23333333333332,110.36666666666666,395.4333333333333,123.33333333333331,126.11666666666666,0.0,111.58333333333331,109.75,214.45,198.05,378.4,453.48333333333335,166.25,227.6,213.31666666666663,112.55,359.3,383.01666666666665,112.15,724.0666666666667,123.16666666666669,378.65,381.3666666666667,147.0,162.51666666666668,210.65,370.6166666666667,96.58333333333331,624.5333333333333,378.0833333333333,570.9166666666666,383.9166666666667,68.66666666666667,74.05,543.8166666666667,356.03333333333336,216.28333333333333,210.51666666666668,220.88333333333333,101.83333333333331,565.6666666666666,119.01666666666668,310.1166666666667,106.76666666666668,201.1833333333333,425.8,194.91666666666663,121.9,355.3833333333333,111.1,305.0833333333333,122.05,127.18333333333334,375.1166666666667,265.68333333333334,79.33333333333333,487.2,98.08333333333331,107.03333333333332,333.01666666666665,244.4833333333333,117.96666666666668,112.43333333333334,271.56666666666666,341.8666666666667,235.38333333333333,318.03333333333336,293.6166666666667,243.78333333333333,265.01666666666665,299.21666666666664,102.73333333333332,563.75,385.7,133.41666666666666,116.78333333333332,76.76666666666667,393.3833333333333,361.75,143.4,432.0833333333333,166.11666666666667,120.66666666666669,115.28333333333332,94.23333333333332,223.78333333333333,403.85,361.0833333333333,400.98333333333335,341.6166666666667,85.6,172.75,149.43333333333334,480.6666666666667,73.65,171.06666666666666,482.6666666666667,508.3,72.53333333333333,360.8833333333333,206.36666666666667,81.71666666666667,78.56666666666666,79.2,384.85,388.6,366.1833333333333,359.18333333333334,306.78333333333336,359.43333333333334,66.05,119.81666666666666,157.8,158.81666666666666,379.6333333333333,340.1333333333333,250.56666666666663,134.41666666666666,367.76666666666665,124.53333333333332,173.08333333333334,106.05,189.33333333333331,348.93333333333334,123.76666666666668,155.43333333333334,414.0833333333333,332.68333333333334,325.6166666666667,136.98333333333332,133.33333333333334,335.1,385.9,327.3833333333333,480.35,156.08333333333334,108.91666666666669,142.16666666666666,124.53333333333332,326.71666666666664,427.9,177.66666666666666,621.1333333333333,291.51666666666665,103.56666666666666,469.3333333333333,388.1333333333333,376.9333333333333,121.16666666666669,161.55,33.11666666666667,189.88333333333333,334.2333333333333,556.8666666666667,91.03333333333332,125.56666666666666,368.95,110.33333333333331,105.51666666666668,441.9,128.88333333333333,388.5,595.7666666666667,408.1166666666667
Bell Gardens,633.5,43.333333333333336,124.01666666666668,398.48333333333335,128.21666666666667,126.75,111.65,0.0,19.65,211.15,194.7333333333333,380.9,450.6333333333333,116.76666666666668,232.5,206.58333333333331,15.2,352.55,376.28333333333336,40.23333333333333,717.3333333333334,31.183333333333334,371.9166666666667,379.0833333333333,151.9,114.03333333333332,201.83333333333331,363.8666666666667,24.55,617.8,371.3333333333333,578.4,386.0,58.73333333333333,56.05,537.0666666666667,349.3,221.1833333333333,215.4,225.76666666666668,25.366666666666667,558.9333333333333,21.666666666666668,303.3833333333333,33.05,126.38333333333334,428.85,199.8,25.133333333333333,348.6333333333333,100.8,298.3333333333333,35.13333333333333,123.88333333333334,377.1333333333333,258.93333333333334,164.6,480.45,91.9,21.4,335.53333333333336,169.68333333333334,24.25,23.08333333333333,264.81666666666666,335.1333333333333,240.28333333333333,319.8,298.5,237.05,269.9,304.1,13.8,560.9166666666666,378.95,242.1,53.88333333333333,51.81666666666667,386.65,355.0,80.65,429.23333333333335,91.31666666666666,117.35,110.88333333333334,37.38333333333333,217.05,397.1,354.35,403.05,334.8666666666667,43.85,177.65,110.35,523.0666666666667,52.3,122.13333333333334,479.8333333333333,505.45,67.53333333333333,354.1333333333333,211.25,160.05,59.7,65.7,387.9,391.6666666666667,368.7,361.7,300.03333333333336,364.31666666666666,67.6,57.083333333333336,106.53333333333332,103.65,372.9,333.4,205.38333333333333,92.71666666666668,361.03333333333336,27.45,122.41666666666669,33.233333333333334,114.51666666666668,342.2,34.416666666666664,88.23333333333333,407.3333333333333,325.93333333333334,318.8666666666667,143.9,58.43333333333333,339.9833333333333,454.1166666666667,324.2,548.5833333333334,136.0,78.53333333333333,67.36666666666666,27.183333333333334,319.96666666666664,463.3833333333333,182.55,646.8,296.4166666666667,152.2,462.5833333333333,381.4,370.1833333333333,46.36666666666667,86.73333333333333,86.4,194.78333333333333,327.5,554.0333333333333,30.78333333333333,38.6,366.65,30.7,18.866666666666667,439.06666666666666,54.083333333333336,385.65,592.9166666666666,405.26666666666665
Bellflower,641.6666666666666,51.5,132.18333333333334,406.65,136.38333333333333,134.9,109.66666666666669,20.3,0.0,203.5,187.1,389.06666666666666,458.8,109.18333333333334,240.66666666666663,214.75,9.616666666666667,360.7166666666666,384.45,29.466666666666665,725.5,30.883333333333333,380.0833333333333,387.23333333333335,160.06666666666666,106.45,194.25,372.03333333333336,27.95,625.95,379.5,586.5666666666667,394.1666666666667,56.766666666666666,54.083333333333336,545.2333333333333,357.46666666666664,229.35,223.56666666666663,233.9333333333333,17.6,567.0833333333334,16.083333333333332,311.55,41.21666666666667,129.03333333333333,437.01666666666665,207.96666666666667,24.716666666666665,356.8,93.03333333333332,306.5,43.3,116.23333333333332,385.28333333333336,267.1,171.2,488.6166666666667,100.06666666666666,29.55,343.7,172.33333333333334,16.033333333333335,26.78333333333333,272.9833333333333,343.3,248.4333333333333,327.96666666666664,306.6666666666667,245.21666666666667,278.06666666666666,312.26666666666665,24.2,569.0666666666667,387.1166666666667,240.13333333333333,62.03333333333333,44.05,394.81666666666666,363.1666666666667,73.06666666666666,437.4,93.96666666666668,109.71666666666668,103.23333333333332,35.31666666666667,225.2,405.26666666666665,362.51666666666665,411.2166666666666,343.03333333333336,41.28333333333333,185.81666666666663,102.76666666666668,531.2333333333333,50.31666666666667,114.55,487.98333333333335,513.6166666666667,63.43333333333333,362.3,219.41666666666663,168.21666666666667,51.93333333333333,57.93333333333333,396.06666666666666,399.8333333333333,376.8666666666667,369.8666666666667,308.2,372.48333333333335,64.83333333333333,49.5,98.95,96.06666666666666,381.05,341.55,208.03333333333333,85.13333333333334,369.2,21.98333333333333,114.83333333333331,25.65,117.16666666666669,350.35,36.5,96.4,415.5,334.1,327.03333333333336,152.05,65.0,348.15,462.28333333333336,332.3666666666667,556.7333333333333,144.16666666666666,70.76666666666667,70.01666666666667,21.6,328.1333333333333,471.55,190.71666666666667,654.9666666666667,304.5833333333333,144.56666666666666,470.75,389.55,378.35,48.516666666666666,89.38333333333334,84.41666666666667,202.95,335.6666666666667,562.1833333333333,28.816666666666663,46.766666666666666,374.81666666666666,19.95,19.1,447.2166666666666,56.73333333333333,393.81666666666666,601.0833333333334,413.4333333333333
Blythe,764.0333333333333,225.0,304.96666666666664,579.45,309.1666666666667,307.7,215.38333333333333,213.08333333333331,209.41666666666663,0.0,95.05,561.8666666666667,631.6,209.61666666666667,413.45,387.53333333333336,212.21666666666667,533.5166666666667,557.2333333333333,207.7,898.2833333333333,224.66666666666663,552.8666666666667,560.0333333333333,332.85,193.88333333333333,109.25,544.8166666666667,197.56666666666663,798.75,552.2833333333333,759.35,566.95,172.38333333333333,165.18333333333334,718.0333333333333,530.25,402.1333333333333,396.35,406.73333333333335,198.88333333333333,739.8833333333333,218.6833333333333,484.3333333333333,213.53333333333333,307.95,609.8166666666667,380.76666666666665,223.38333333333333,529.6,159.0,479.28333333333336,223.05,91.68333333333334,558.0833333333334,439.9,278.1,661.4166666666666,242.1833333333333,208.01666666666668,516.4833333333333,351.25,214.76666666666668,213.9333333333333,445.76666666666665,516.0833333333334,421.23333333333335,500.75,479.4666666666666,418.0,450.85,485.06666666666666,204.2333333333333,741.8666666666667,559.9166666666666,96.96666666666668,234.83333333333331,177.95,567.6,535.9666666666667,221.1,610.2,272.9,101.16666666666669,114.43333333333334,201.0,398.0,578.0666666666667,535.3,584.0166666666667,515.8333333333334,186.2333333333333,358.6,211.2333333333333,679.45,176.36666666666667,200.03333333333333,660.7833333333333,686.4166666666666,150.9,535.1,392.2166666666666,280.4833333333333,166.01666666666668,153.43333333333334,568.8666666666667,572.6166666666667,549.65,542.65,480.98333333333335,545.2833333333333,160.75,215.38333333333333,206.46666666666667,210.26666666666668,553.85,514.35,386.95,208.6,541.9833333333333,224.56666666666663,215.58333333333331,202.33333333333331,296.1,523.15,225.26666666666668,269.2,588.3,506.9,499.8333333333333,324.85,240.1,520.95,584.6666666666666,505.1666666666667,679.1166666666667,316.95,183.08333333333331,248.9333333333333,224.1833333333333,500.9333333333333,626.6833333333333,363.51666666666665,819.9,477.3666666666667,122.55,643.5333333333333,562.35,551.1333333333333,227.9333333333333,268.31666666666666,191.31666666666663,375.73333333333335,508.45,734.9833333333333,192.01666666666668,226.5,547.6166666666667,206.88333333333333,207.0,620.0166666666667,235.66666666666663,566.6,773.8666666666667,586.2333333333333
