,Alturas,Arleta,Arvin,Auburn,Bakersfield,Bakersfield Southwest,Barstow,Bell Gardens,Bellflower,Blythe,Brawley,Carmichael,Chico,Chula Vista,Clovis,Coalinga,Compton,Concord,Corte Madera,Costa Mesa,Crescent City,Culver City,Daly City,Davis,Delano,El Cajon,El Centro,El Cerrito,El Monte,Eureka,Fairfield,Fall River Mills,Folsom,Fontana,Fontana Commercial Drive Test Center,Fort Bragg,Fremont,Fresno,Fresno Commercial Drive Test Center,Fresno North,Fullerton,Garberville,Gardena Commercial Drive Test Center,Gilroy,Glendale,Goleta,Grass Valley,Hanford,Hawthorne,Hayward,Hemet,Hollister,Hollywood,Indio,Jackson,King City,Lake Isabella,Lakeport,Lancaster,Lincoln Park,Lodi,Lompoc,Long Beach,Los Angeles,Los Banos,Los Gatos,Madera,Manteca,Mariposa,Mendota,Merced,Modesto,Montebello,Mt Shasta,Napa,Needles,Newhall,Norco,Novato,Oakland,Oceanside,Oroville,Oxnard,Palm Desert,Palm Springs,Pasadena,Paso Robles,Petaluma,Pittsburg,Placerville,Pleasanton,Pomona,Porterville,Poway,Quincy,Rancho Cucamonga,Rancho San Diego Industry Business Center,Red Bluff,Redding,Redlands,Redwood City,Reedley,Ridgecrest,Riverside,Riverside East,Rocklin,Roseville,Sacramento,Sacramento South,Salinas,San Andreas,San Bernardino,San Clemente,San Diego,San Diego Clairemont,San Francisco,San Jose,San Luis Obispo,San Marcos,San Mateo,San Pedro,San Ysidro,Santa Ana,Santa Barbara,Santa Clara,Santa Monica,Santa Paula,Santa Rosa,Santa Teresa,Seaside,Shafter,Simi Valley,Sonora,South Lake Tahoe,Stockton,Susanville,Taft,Temecula,Thousand Oaks,Torrance,Tracy,Truckee,Tulare,Tulelake,Turlock,Twentynine Palms,Ukiah,Vacaville,Vallejo,Van Nuys,Ventura,Victorville,Visalia,Watsonville,Weaverville,West Covina,West Hollywood,West Sacramento Commercial Drive Test Center,Westminster,Whittier,Willows,Winnetka,Woodland,Yreka,Yuba City
Alturas,0,1359.85,1472.03,684.62,1409.72,1478.45,1608.07,1381.25,1415.33,1788.45,1838.35,696.2,823.17,1587.12,1440.28,2058.85,1400.8,730.95,776.12,1515.02,,1363.57,781.83,636.87,1466.07,1614.18,1722.25,710.23,1366.08,,704.77,114.82,673.42,1480.72,1501.15,1883.85,784.02,1369.5,1402.22,1389.48,1398.9,2067.03,1388.45,927.13,1384.15,1410.62,1479.77,1452.8,1415.58,767.95,1714.43,1540.47,1355.87,1689.05,4459.48,1478.27,4223.37,1679.6,1696.12,1348.98,1514.65,,1440.58,1351.63,1450.42,860.92,1322.18,1548.4,1310.25,4495.42,1045.88,1401.75,1371.33,,1433.33,4301.53,1497.28,1612.9,793.07,743.38,1548.52,777.4,1485.07,4207.8,1795.45,1377.3,1172.27,816.73,814.17,1533.13,802.7,1434.5,1681.75,1627.72,510.72,1464.72,4210.95,,,1586.85,844.93,4544.73,4247.5,1593.88,1607.38,661.0,721.07,638.58,659.63,1421.57,,1565.68,1468.22,1564.37,1536.1,774.12,829.05,1383.15,1611.12,842.12,1413.63,1609.37,1445.77,1380.12,839.8,1345.02,1503.72,859.08,872.62,1428.8,1427.67,1511.77,2111.22,582.73,710.73,129.12,1691.17,1663.32,1539.08,1409.98,1588.32,,1423.33,96.7,1481.1,2285.88,1757.85,775.33,750.17,1355.78,1508.9,1559.27,1399.1,962.38,,1390.25,1349.43,621.08,1457.85,1418.13,1644.72,1394.83,649.05,,1502.57
Arleta,1100.02,0,516.6,711.73,298.7,490.13,274.22,162.07,220.48,373.6,822.77,659.32,783.33,434.25,443.4,650.27,157.32,550.92,567.52,259.6,1895.65,104.6,515.8,625.05,374.18,492.6,741.63,527.13,140.27,1155.82,587.55,2027.93,666.53,334.87,380.37,983.07,494.47,406.03,403.03,397.6,143.32,1177.18,154.2,503.25,94.97,417.55,962.02,515.92,147.23,502.13,600.13,608.65,104.9,259.2,4164.05,,316.55,1021.43,494.03,113.4,577.77,480.7,234.45,98.05,498.27,470.73,385.3,602.6,603.37,678.53,414.0,480.32,171.33,905.97,637.05,1138.45,74.72,378.25,610.25,506.43,510.93,795.18,583.32,425.98,519.98,142.83,,627.0,579.6,776.25,542.88,144.88,,511.87,1013.83,274.17,463.42,832.28,844.92,338.57,449.82,727.85,340.68,369.32,429.05,696.12,713.58,628.48,640.7,535.75,2113.0,384.48,,294.2,472.65,515.9,436.97,,505.53,482.22,176.3,421.52,159.57,380.5,438.53,106.45,597.83,683.27,463.98,608.98,335.78,476.43,1187.92,1085.85,509.75,977.23,486.08,539.0,196.68,221.13,651.62,775.9,,2039.82,460.23,682.73,856.03,691.07,597.0,37.83,592.02,232.18,,563.08,1043.42,142.95,105.57,652.2,219.02,453.85,887.83,77.65,682.23,992.7,745.68
Arvin,2926.95,278.67,0,653.53,87.32,158.5,480.37,374.92,409.0,628.12,708.02,626.17,812.83,581.78,420.33,608.52,358.9,693.08,716.17,461.83,1835.15,372.95,670.97,606.03,192.02,597.85,611.92,658.8,347.75,1413.72,731.42,3854.87,618.08,404.47,476.02,1243.9,650.43,374.17,375.97,387.53,368.57,1427.08,364.12,449.73,366.82,577.23,1259.43,359.03,395.6,610.97,563.6,575.13,347.15,508.72,4216.53,1168.32,370.88,1369.65,386.17,318.65,734.7,1243.65,382.23,322.3,390.08,603.9,411.33,714.22,554.92,345.08,445.93,502.22,366.0,1202.9,768.92,1291.58,286.95,466.42,733.12,648.68,502.18,767.07,586.87,609.47,647.97,348.48,737.32,769.02,707.38,697.08,664.75,386.58,330.27,577.38,2840.77,384.18,613.9,1398.83,771.67,441.33,704.5,351.4,393.65,463.43,530.23,635.42,650.73,571.03,590.3,721.23,2499.93,389.15,482.55,547.03,522.73,667.33,526.73,1073.2,520.78,724.77,407.3,595.03,390.43,567.03,562.8,367.68,533.53,773.07,505.32,729.2,183.72,407.42,1471.27,,650.78,2804.17,246.22,530.75,513.75,387.72,588.55,767.2,217.9,2336.75,564.33,543.55,1117.9,779.27,718.87,294.77,573.88,490.17,264.4,699.07,2520.35,353.22,348.82,565.67,441.55,413.65,1424.38,332.5,608.72,2449.63,658.43
Auburn,588.2,779.9,698.33,0,588.57,629.75,1397.53,801.3,822.38,978.75,1291.5,125.92,333.32,1058.17,471.58,610.15,789.78,167.0,252.17,883.47,1424.55,735.62,234.97,146.47,613.87,1074.17,1265.35,180.35,774.13,684.72,155.97,1516.12,156.52,882.35,910.2,580.93,232.33,427.62,428.22,438.78,897.82,706.08,797.83,349.18,718.45,788.23,92.5,495.28,808.32,226.62,1403.27,391.52,764.92,974.2,269.58,514.27,2236.47,550.33,902.17,749.58,210.7,,839.32,758.68,526.45,328.43,508.48,229.58,556.55,556.72,452.18,297.3,792.38,455.95,273.38,2314.63,764.83,1412.82,268.12,202.68,907.82,345.17,847.98,1243.85,1114.9,780.68,518.32,305.02,231.22,223.23,308.23,826.97,593.05,1077.82,502.02,865.77,2224.05,382.27,394.9,938.15,290.98,563.03,2260.6,950.0,1118.68,45.63,,108.68,166.4,404.62,,914.73,861.53,1023.53,1050.6,227.68,285.37,595.42,942.42,288.17,827.4,964.47,806.45,743.92,276.83,726.32,941.77,341.13,319.85,461.85,639.97,764.62,1444.32,574.03,180.83,465.42,682.47,1174.62,1490.13,810.03,278.42,264.08,514.63,1528.0,380.92,1498.98,432.85,219.97,205.03,762.15,869.95,1439.8,490.4,434.97,593.4,790.6,769.2,149.1,889.93,847.17,437.82,765.88,148.82,542.68,212.67
Bakersfield,1140.22,203.52,88.8,751.93,0,60.4,567.38,287.3,393.65,629.77,895.12,699.52,823.53,500.87,483.6,605.4,283.87,639.25,655.85,377.5,1975.02,331.98,604.13,713.38,77.27,559.22,799.02,615.47,299.62,1235.18,675.88,2316.68,706.73,463.45,472.67,1071.4,582.8,534.7,443.23,223.98,283.22,1256.55,280.3,591.58,277.67,462.37,1002.22,151.93,304.13,590.47,725.27,696.98,268.8,766.02,4083.33,,266.18,1100.8,267.43,259.57,617.97,685.87,408.35,257.95,538.47,559.07,425.5,642.8,643.57,718.73,454.2,520.52,258.23,946.17,725.38,1145.22,166.47,491.42,698.58,594.77,401.83,835.38,,743.12,781.62,301.73,,715.33,667.93,816.45,631.22,360.45,,575.03,1054.03,387.33,551.75,872.48,885.12,463.7,538.15,768.05,288.95,494.45,554.18,736.32,753.78,668.68,680.9,624.08,2210.2,509.62,,492.1,535.82,604.23,525.3,,444.43,570.55,386.2,484.68,308.47,426.43,526.87,283.5,638.03,771.6,552.32,697.32,38.87,487.07,1228.12,1126.05,549.95,1017.43,94.48,,517.4,394.3,691.82,816.1,,2080.02,500.43,995.2,944.37,770.43,685.33,228.1,612.22,663.58,,651.42,1083.62,328.77,268.47,692.4,370.9,394.3,928.03,300.35,770.57,1032.9,785.88
Bakersfield Southwest,1212.63,381.58,624.42,824.35,89.23,0,639.8,465.27,466.07,964.18,974.08,771.93,895.95,522.85,556.02,939.82,410.83,668.72,685.32,449.92,2004.48,400.95,633.6,742.85,486.8,583.18,897.98,644.93,342.2,1264.65,705.35,2348.33,779.15,484.23,499.88,1100.87,612.27,518.65,515.65,510.22,355.63,1286.02,408.52,621.05,326.88,796.78,1074.63,628.53,433.03,619.93,794.17,726.45,351.22,864.78,4120.38,,324.35,1130.27,601.85,309.27,690.38,1020.28,480.77,330.37,610.88,588.53,497.92,715.22,715.98,791.15,526.62,592.93,388.47,1018.58,754.85,1195.05,238.88,563.83,728.05,624.23,474.25,907.8,725.93,815.53,854.03,419.95,,744.8,697.4,888.87,660.68,421.65,,596.45,1126.45,459.75,576.97,944.93,957.53,611.18,567.62,840.47,347.12,611.43,656.72,808.73,826.2,741.1,753.32,653.55,2433.4,567.15,,504.52,533.23,633.7,554.77,,516.85,600.02,459.62,561.93,380.88,760.85,556.33,386.12,770.45,801.07,581.78,726.78,448.4,559.48,1300.53,1198.47,622.37,1089.85,593.9,,589.82,466.72,764.23,888.52,,2152.43,572.85,1329.62,973.83,799.9,714.8,339.22,701.95,736.0,,680.88,1156.03,391.18,349.88,764.82,443.32,488.85,1000.45,349.57,800.03,1105.32,858.3
Barstow,1433.53,385.48,636.32,943.5,559.32,588.08,0,348.88,353.97,326.53,637.98,916.13,1102.8,449.75,567.03,603.72,361.37,934.12,745.08,327.8,2052.23,371.52,651.82,896.0,398.72,466.82,561.88,707.87,300.28,1331.75,908.0,2361.45,908.05,227.85,240.93,1161.93,631.02,523.07,509.67,519.23,268.53,1345.12,356.08,670.88,367.18,580.68,1476.52,581.75,364.45,658.68,361.58,737.22,355.97,280.03,4506.5,655.97,265.47,1676.35,615.75,319.62,894.28,581.3,353.78,313.27,593.5,612.05,620.38,868.03,1307.0,562.17,910.48,856.42,327.97,1120.93,988.5,839.17,417.78,304.23,789.82,685.38,395.15,1057.03,499.7,257.13,295.63,325.53,559.02,841.37,744.68,987.05,904.33,287.55,644.83,497.35,1347.35,266.87,485.87,1615.92,988.75,244.08,613.82,568.48,288.23,221.77,274.1,925.38,940.7,861.0,880.27,638.32,2337.97,210.65,370.42,422.12,424.13,673.87,596.33,509.07,420.75,631.78,386.98,464.0,264.62,539.75,605.1,370.65,523.5,855.83,632.55,677.55,678.3,442.95,1389.3,1138.48,751.27,1310.75,670.8,201.4,498.72,377.62,907.95,1057.17,517.08,2254.78,901.75,591.22,1035.93,994.97,948.62,384.87,560.53,188.9,551.3,706.15,2358.38,287.78,353.78,855.63,309.48,340.08,1641.47,411.47,898.68,1839.22,948.4
Bell Gardens,1171.32,137.6,531.97,783.03,370.0,505.5,286.48,0,84.77,356.73,799.1,730.62,854.63,357.38,514.7,726.5,71.88,627.15,643.75,192.7,1922.92,100.0,597.33,701.28,445.48,415.73,736.67,603.37,90.72,1183.08,663.78,2099.23,737.83,319.97,289.33,1019.3,570.7,477.33,474.33,468.9,99.32,1204.45,74.95,579.48,113.9,681.37,1033.32,587.22,93.57,578.37,585.23,684.88,110.3,236.47,4259.15,,737.25,1048.7,560.53,89.73,649.07,547.83,105.48,57.9,569.57,546.97,456.6,673.9,674.67,749.83,485.3,551.62,34.02,977.27,713.28,1116.8,151.7,363.52,686.48,582.67,301.7,866.48,660.95,411.08,505.08,96.6,,703.23,655.83,847.55,619.12,153.88,,435.0,1085.13,259.43,448.52,903.58,916.22,323.67,526.05,799.15,760.02,354.42,414.15,767.42,784.88,699.78,712.0,611.98,2184.3,369.58,,456.53,395.78,592.13,513.2,,344.3,558.45,132.9,344.65,126.97,681.18,514.77,123.03,675.47,759.5,540.22,685.22,407.08,554.07,1259.22,1157.15,581.05,1048.53,501.45,534.27,389.5,112.93,722.92,847.2,,2111.12,531.53,667.83,892.27,718.33,673.23,149.5,669.65,225.55,,639.32,1114.72,119.28,112.2,723.5,128.8,87.08,959.13,172.43,758.47,1064.0,816.98
Bellflower,1194.18,179.13,557.97,805.9,392.87,531.5,573.35,59.58,0,370.73,777.63,753.48,877.5,383.38,537.57,734.37,27.28,635.02,651.62,162.67,1924.5,115.77,605.2,709.15,468.35,432.68,672.48,611.23,114.6,1184.67,671.65,2108.1,760.7,357.18,386.38,1020.88,578.57,500.2,497.2,491.77,88.07,1206.03,76.62,587.35,129.43,323.95,1056.18,610.08,78.43,586.23,622.45,692.75,126.07,256.33,4284.15,,791.65,1050.28,583.4,114.9,671.93,,43.15,76.15,592.43,554.83,479.47,696.77,697.53,772.7,508.17,574.48,110.27,1000.13,721.15,1100.82,174.57,488.92,694.35,590.53,399.33,889.35,,455.08,549.08,102.13,,711.1,663.7,870.42,626.98,182.42,,452.6,1108.0,384.9,466.12,926.45,939.08,360.88,533.92,822.02,814.48,391.63,451.37,790.28,807.75,722.65,734.87,619.85,2193.17,406.8,,369.67,413.38,600.0,521.07,,442.03,566.32,100.25,362.28,127.03,698.82,522.63,153.73,635.63,767.37,548.08,693.08,429.95,484.67,1282.08,1180.02,603.92,1071.4,519.08,632.0,515.0,391.9,745.78,870.07,,2133.98,554.4,711.83,893.85,719.92,681.1,192.13,,238.55,,647.18,1137.58,147.82,142.8,746.37,87.38,330.35,982.0,202.48,766.33,1086.87,839.85
Blythe,1418.37,382.47,558.15,967.73,471.15,529.92,455.53,334.72,364.8,0,,1067.97,1127.03,586.58,731.75,,351.2,982.02,982.8,441.48,2256.95,342.75,926.53,1036.33,503.43,,,960.77,279.55,1435.13,1002.83,2346.28,932.28,299.97,339.65,1265.32,904.75,685.58,687.38,698.95,369.4,1448.5,331.92,810.35,331.62,672.52,1681.23,670.45,349.77,922.38,385.82,881.93,333.95,125.52,,880.53,684.83,1881.07,627.58,305.0,1046.12,836.02,372.5,293.1,,894.77,722.75,1019.87,,766.88,757.35,813.63,336.8,1224.32,1059.8,,375.47,379.57,1008.53,940.1,419.38,1081.27,541.67,191.67,285.67,318.37,773.73,1035.43,1000.57,,976.17,267.38,641.68,,1332.18,275.48,,1820.63,1193.47,219.75,882.53,773.2,708.97,246.0,298.33,949.62,964.93,1012.83,1032.1,895.03,2431.35,206.88,492.25,549.83,530.53,929.92,846.05,823.78,444.98,904.5,356.82,597.67,382.23,576.58,856.82,346.48,586.18,1035.48,857.12,935.27,595.13,462.4,1492.68,1439.2,903.1,1295.58,557.63,472.23,530.55,350.45,899.97,,529.32,2358.17,875.75,448.42,1139.32,1090.68,1030.28,363.32,517.68,551.73,575.82,981.42,2451.77,284.57,333.62,1007.47,386.35,349.58,1846.18,396.3,1050.52,1761.05,972.63
