,Alturas,Arleta,Arvin,Auburn,Bakersfield,Bakersfield Southwest,Barstow,Bell Gardens,Bellflower,Bishop,Blythe,Brawley,Carmichael,Chico,Chula Vista,Clovis,Coalinga,Colusa,Compton,Concord,Corte Madera,Costa Mesa,Crescent City,Culver City,Daly City,Davis,Delano,El Cajon,El Centro,El Cerrito,El Monte,Eureka,Fairfield,Fall River Mills,Folsom,Fontana,Fontana Commercial Drive Test Center,Fort Bragg,Fremont,Fresno,Fresno Commercial Drive Test Center,Fresno North,Fullerton,Garberville,Gardena Commercial Drive Test Center,Gilroy,Glendale,Goleta,Grass Valley,Hanford,Hawthorne,Hayward,Hemet,Hollister,Hollywood,Indio,Jackson,King City,Lake Isabella,Lakeport,Lancaster,Lincoln Park,Lodi,Lompoc,Long Beach,Los Angeles,Los Banos,Los Gatos,Madera,Manteca,Mariposa,Mendota,Merced,Modesto,Montebello,Mt Shasta,Napa,Needles,Newhall,Norco,Novato,Oakland,Oceanside,Oroville,Oxnard,Palm Desert,Palm Springs,Pasadena,Paso Robles,Petaluma,Pittsburg,Placerville,Pleasanton,Pomona,Porterville,Poway,Quincy,Rancho Cucamonga,Rancho San Diego Industry Business Center,Red Bluff,Redding,Redlands,Redwood City,Reedley,Ridgecrest,Riverside,Riverside East,Rocklin,Roseville,Sacramento,Sacramento South,Salinas,San Andreas,San Bernardino,San Clemente,San Diego,San Diego Clairemont,San Francisco,San Jose,San Luis Obispo,San Marcos,San Mateo,San Pedro,San Ysidro,Santa Ana,Santa Barbara,Santa Clara,Santa Monica,Santa Paula,Santa Rosa,Santa Teresa,Seaside,Shafter,Simi Valley,Sonora,South Lake Tahoe,Stockton,Susanville,Taft,Temecula,Thousand Oaks,Torrance,Tracy,Truckee,Tulare,Tulelake,Turlock,Twentynine Palms,Ukiah,Vacaville,Vallejo,Van Nuys,Ventura,Victorville,Visalia,Watsonville,Weaverville,West Covina,West Hollywood,West Sacramento Commercial Drive Test Center,Westminster,Whittier,Willows,Winnetka,Woodland,Yreka,Yuba City
Alturas,0.0,12943.15,11995.933333333332,5439.416666666667,11555.533333333333,11564.116666666667,12117.15,13523.6,13692.2,7646.116666666667,15700.9,16275.966666666667,5955.7,4059.016666666667,15740.083333333334,9042.3,9915.35,5053.833333333333,13699.283333333333,7384.533333333334,7995.483333333334,14180.516666666666,5863.433333333333,13418.183333333332,7282.05,5832.283333333334,10847.8,15553.333333333334,16567.45,7725.333333333333,13390.233333333334,6304.816666666667,6605.35,1565.6833333333334,5847.216666666666,13058.116666666667,13090.4,7029.7,8215.033333333333,9078.333333333334,9190.916666666666,8963.566666666668,13827.05,6158.633333333333,13698.366666666667,9261.433333333332,13136.95,13778.166666666666,4912.433333333333,9795.266666666666,13567.583333333334,8007.216666666666,13861.65,9292.45,13283.9,14640.833333333334,6459.966666666666,10510.883333333333,10544.15,6287.533333333334,12002.45,13398.066666666668,6829.033333333334,13259.516666666666,13803.9,13399.35,8585.016666666666,8810.583333333334,8730.4,7269.383333333333,7955.833333333333,8906.85,7949.8,7622.6,13434.866666666667,2353.233333333333,7035.116666666667,14422.633333333333,12618.433333333332,13443.716666666667,7659.95,7813.0,14778.05,4313.816666666667,13660.866666666667,14438.416666666666,14282.716666666667,13244.966666666667,11349.216666666667,7355.25,7682.316666666667,6113.183333333333,7901.816666666667,13434.116666666667,10730.783333333333,15183.166666666666,3145.2166666666667,13200.75,15641.833333333334,3435.7166666666667,3036.133333333333,13207.383333333333,7679.633333333333,9567.8,10504.0,13276.9,13362.5,5730.6,5682.816666666667,5989.666666666667,6113.033333333334,9788.466666666667,6683.983333333334,13051.216666666667,14572.35,15565.383333333333,15411.9,7142.9,8646.0,12256.55,14821.566666666668,7502.85,13943.15,15944.4,14062.183333333332,13557.783333333333,8634.85,13428.666666666666,13278.483333333334,7060.316666666667,8835.666666666666,10151.733333333334,11156.55,13027.983333333334,6811.566666666667,4729.55,7016.283333333334,2032.85,11758.75,14139.183333333332,13277.25,13687.5,7476.35,4016.983333333333,10188.983333333334,1511.4166666666667,7756.483333333334,13988.733333333334,6436.116666666667,6306.283333333334,6984.55,13025.4,13543.116666666667,12318.65,10100.816666666668,9617.466666666667,4079.6,13547.3,13268.883333333333,5922.85,13932.033333333333,13601.133333333333,4457.883333333333,13111.983333333334,5697.466666666666,2967.6833333333334,4925.966666666666
Arleta,13071.016666666666,0.0,2384.15,9647.833333333334,2793.4666666666667,2774.9333333333334,2762.5833333333335,666.05,821.1666666666666,5453.716666666666,5619.816666666667,4966.683333333333,9207.283333333333,11190.466666666667,3444.983333333333,5312.383333333333,4874.65,10474.216666666667,748.2,8825.25,9406.6,1348.75,18392.466666666667,512.4333333333333,8950.066666666668,9462.933333333332,3563.5333333333333,3491.3333333333335,5111.283333333334,9098.533333333333,643.85,15417.566666666668,9555.766666666666,13079.233333333334,9197.816666666668,1377.8333333333333,1438.4166666666667,13131.45,8391.683333333332,5315.466666666666,5189.9,5420.35,995.2833333333333,14017.25,718.7166666666667,7275.366666666667,264.1166666666667,2372.366666666667,10303.25,4585.183333333333,666.3333333333334,8589.6,2360.5666666666666,6903.5,386.3,3331.5333333333333,8630.2,5905.433333333333,2843.9,11519.0,1203.3166666666666,465.06666666666666,8344.833333333334,3303.7,921.8166666666667,526.5166666666667,6517.483333333334,8026.633333333333,5879.3,7829.816666666667,6911.966666666666,5753.933333333333,6696.166666666667,7432.416666666667,616.7666666666667,14334.933333333332,9466.55,6477.55,332.65,1522.4666666666667,9328.4,8970.833333333334,2715.3333333333335,10781.55,1161.5333333333333,3129.116666666667,2879.2,575.3833333333333,5010.25,9615.116666666667,8554.533333333333,9371.9,8482.3,1113.2333333333333,3865.0,3141.9,11383.766666666666,1221.8166666666666,3577.483333333333,12008.066666666668,12830.1,1750.0333333333333,8507.233333333334,4997.033333333334,2852.4666666666667,1593.75,1756.45,9435.383333333333,9414.716666666667,9096.8,8968.283333333333,7154.766666666666,8356.466666666667,1616.6,1899.85,3270.2833333333333,3116.8,9110.266666666666,7945.733333333334,4267.966666666666,2893.483333333333,8688.933333333332,946.35,3649.3,1252.5666666666666,2139.616666666667,8129.916666666667,514.65,1131.3666666666666,9929.916666666666,7751.516666666666,7256.95,3183.65,451.8,7907.933333333333,9251.25,8064.966666666666,11605.216666666667,2950.05,2343.9666666666667,700.5666666666667,794.8,7885.616666666667,9950.3,4313.883333333333,14456.983333333334,7171.3,3751.5,12111.316666666668,9581.266666666666,9242.016666666666,100.76666666666667,1216.8833333333334,2084.8333333333335,4448.166666666667,7432.0,13889.55,810.4166666666666,363.1333333333333,9223.55,1100.2666666666667,777.1,11021.85,240.86666666666667,9595.183333333332,15119.566666666668,10190.416666666666
Arvin,12089.783333333333,2377.55,0.0,7443.233333333334,447.81666666666666,453.1666666666667,2885.7833333333333,2973.2833333333333,3128.4,4753.366666666667,6872.166666666667,6627.483333333334,7002.7,8985.883333333333,5903.133333333333,2969.6,2707.883333333333,8269.633333333333,3055.4333333333334,6620.65,7239.816666666667,3655.983333333333,16187.866666666667,2852.6,6783.283333333334,7258.35,1217.8666666666666,5733.8,6959.133333333333,6931.75,2951.0833333333335,13212.983333333334,7351.166666666667,11682.783333333333,6993.216666666666,3213.0666666666666,3245.35,10926.85,6224.916666666667,2972.7,2847.133333333333,3077.5666666666666,3302.516666666667,11812.65,3025.9666666666667,5108.583333333333,2571.35,2751.8,8098.666666666667,2242.4,3001.983333333333,6422.833333333333,4065.1,4736.733333333334,2718.3,4992.35,6377.066666666667,3914.2166666666667,2122.4166666666665,9314.4,1527.1333333333334,2772.3,6140.25,3154.266666666667,3229.0666666666666,2833.766666666667,4334.2,5859.85,3536.516666666667,5625.233333333334,4569.2,3549.483333333333,4353.383333333333,5227.816666666667,2924.0,12717.166666666666,7261.95,6677.666666666667,2052.85,3598.6666666666665,7161.616666666667,6804.05,4941.116666666667,8576.95,3126.8333333333335,4789.916666666667,4540.0,2922.0,2807.133333333333,7448.35,6349.933333333333,7167.316666666667,6277.7,3420.483333333333,1519.3333333333333,5363.633333333333,9941.1,3355.7166666666667,5822.283333333334,9803.483333333334,10625.5,3410.8333333333335,6340.466666666666,2654.266666666667,2130.9666666666667,3431.85,3533.866666666667,7230.8,7210.133333333333,6892.2,6763.7,4987.983333333334,6013.7,3254.6833333333334,4207.083333333333,5728.433333333333,5574.966666666666,6943.483333333334,5778.966666666666,3027.45,5002.083333333333,6522.15,3268.116666666667,6107.45,3559.8,2531.4166666666665,5963.133333333333,2863.0666666666666,2407.2166666666667,7763.133333333333,5584.75,5265.716666666666,840.8833333333333,2454.3333333333335,5565.15,8139.733333333334,5860.366666666667,10534.816666666668,929.5833333333334,4309.366666666667,2743.2166666666667,3121.9166666666665,5681.016666666666,8838.8,1968.2166666666667,13474.333333333334,4966.716666666666,4605.7,9906.716666666667,7376.666666666667,7037.433333333333,2459.8166666666666,3247.2166666666667,2899.5333333333333,2102.516666666667,5265.233333333334,11684.966666666667,3117.65,2703.2833333333333,7018.95,3407.5,3084.35,8817.25,2546.383333333333,7390.6,13363.666666666666,7985.833333333333
Auburn,5510.316666666667,9619.383333333333,7422.216666666666,0.0,6981.816666666667,6990.4,10172.9,10215.116666666667,10370.233333333334,5850.533333333334,14159.266666666666,13887.4,623.6,1903.6666666666667,13163.066666666668,4545.3,4866.283333333334,1385.6666666666667,10297.266666666666,2643.2166666666667,2371.366666666667,10897.816666666668,9087.2,10094.416666666666,2540.733333333333,1098.5666666666666,6274.083333333333,12993.716666666667,14219.05,2984.016666666667,10192.9,6110.55,1864.0333333333333,4600.583333333333,423.85,10473.0,10505.283333333333,4409.766666666666,3373.35,4455.683333333333,4586.516666666666,4413.95,10544.35,5295.566666666667,10267.783333333333,3932.2,9813.183333333332,8740.766666666666,672.1166666666667,5177.816666666667,10243.816666666668,3270.4,11325.033333333333,3869.0833333333335,9960.133333333333,12252.266666666666,1268.4833333333333,5087.516666666666,8776.966666666667,2970.35,8787.066666666668,10014.133333333333,1429.6,8222.116666666667,10470.883333333333,10075.583333333334,3161.65,3730.1,3908.3333333333335,1918.2333333333333,3370.4,3868.9666666666667,3082.5833333333335,2199.233333333333,10165.816666666668,5616.483333333334,2293.8,13287.6,9294.666666666666,10858.6,3314.3,3071.6833333333334,12201.033333333333,1494.75,9451.25,12049.85,11799.933333333332,10181.933333333332,6253.8,3068.9666666666667,2803.8,714.3666666666667,2841.0,10662.3,6162.5,12623.55,2736.7166666666667,10615.633333333333,13082.216666666667,2709.383333333333,3524.8333333333335,10670.766666666666,2938.3166666666666,5047.416666666667,8736.816666666668,10691.783333333333,10793.8,307.23333333333335,420.95,841.0833333333334,915.4666666666667,4365.1,1623.3,10514.6,11448.916666666666,12988.366666666667,12834.883333333333,2401.5833333333335,3565.516666666667,7161.133333333333,12262.0,2761.5333333333333,10509.95,13367.383333333333,10801.633333333333,8520.383333333333,3578.016666666667,10104.9,9325.166666666666,2848.85,3734.3333333333335,4728.366666666667,6582.833333333333,9478.35,2437.733333333333,2093.4666666666667,1692.1,3645.233333333333,6721.35,11569.3,9727.616666666667,10363.733333333334,2152.1666666666665,1969.2666666666667,5624.45,6392.116666666667,2488.8333333333335,11824.216666666667,3402.2833333333333,1564.9666666666667,2243.233333333333,9701.633333333333,9236.183333333332,10118.066666666668,5536.283333333334,4288.233333333334,4584.283333333334,10359.483333333334,9945.116666666667,859.1666666666666,10649.333333333334,10326.166666666666,2057.766666666667,9763.766666666666,1218.0833333333333,6262.983333333334,903.6166666666667
Bakersfield,11651.183333333332,2788.016666666667,448.9,7004.65,0.0,169.66666666666666,3199.5833333333335,3383.75,3538.866666666667,4670.233333333334,7185.95,7066.55,6564.1,8547.283333333333,6342.2,2531.016666666667,2271.95,7831.033333333334,3465.9,6182.066666666667,6803.9,4066.45,15749.283333333333,3263.0666666666666,6347.366666666667,6819.75,783.9,6172.866666666667,7398.2,6495.833333333333,3361.55,12774.383333333333,6912.583333333333,11244.2,6554.633333333333,3652.133333333333,3684.4166666666665,10488.266666666666,5788.983333333334,2534.1,2408.5333333333333,2638.9666666666667,3712.983333333333,11374.066666666668,3436.4166666666665,4672.666666666667,2981.8166666666666,2751.45,7660.066666666667,1803.8,3412.45,5986.9,4504.166666666667,4300.8,3128.766666666667,5431.416666666667,5938.466666666666,3478.2833333333333,2266.0666666666666,8875.816666666668,1978.85,3182.766666666667,5701.65,3121.266666666667,3639.516666666667,3244.233333333333,3895.6,5423.933333333333,3097.9333333333334,5186.633333333333,4130.6,3110.883333333333,3914.8,4789.233333333334,3334.4666666666667,12278.566666666668,6823.366666666667,6991.466666666666,2463.3,4037.733333333333,6725.7,6368.133333333333,5380.166666666667,8138.366666666667,3173.5666666666666,5228.983333333334,4979.066666666667,3362.5333333333333,2439.8333333333335,7012.416666666667,5911.35,6728.716666666666,5839.116666666667,3922.4166666666665,1085.3666666666666,5802.7,9502.5,3794.766666666667,6261.35,9364.883333333333,10186.916666666666,3849.9,5904.533333333334,2215.6666666666665,2274.616666666667,3870.9166666666665,3972.9333333333334,6792.2,6771.533333333334,6453.6,6325.1,4552.05,5575.1,3693.75,4617.55,6167.5,6014.016666666666,6507.566666666667,5343.033333333334,2737.4166666666665,5441.15,6086.216666666666,3678.5833333333335,6546.516666666666,3970.266666666667,2531.0666666666666,5527.216666666666,3273.5333333333333,2791.1833333333334,7327.216666666666,5148.816666666667,4829.783333333334,402.28333333333336,2540.6833333333334,5126.566666666667,7701.15,5421.783333333334,10096.233333333334,770.45,4748.433333333333,2789.9666666666667,3532.383333333333,5242.416666666667,8400.2,1534.25,13035.733333333334,4528.116666666667,4919.483333333334,9468.133333333333,6938.083333333333,6598.833333333333,2870.2833333333333,3055.8166666666666,3213.3333333333335,1668.5333333333333,4829.3,11246.366666666667,3528.116666666667,3113.75,6580.35,3817.9666666666667,3494.8,8378.666666666666,2826.1,6952.0,12925.066666666668,7547.233333333334
Bakersfield Southwest,11660.533333333333,2770.6833333333334,455.3833333333333,7014.0,170.8,0.0,3301.7166666666667,3366.4166666666665,3521.5333333333333,4812.266666666666,7288.1,7038.05,6573.466666666666,8556.583333333334,6313.7,2540.366666666667,2272.616666666667,7840.4,3448.5666666666666,6191.416666666667,6804.55,4049.133333333333,15758.633333333333,3245.733333333333,6348.016666666666,6829.116666666667,873.6166666666667,6144.366666666667,7369.7,6496.483333333334,3344.2166666666667,12783.733333333334,6921.933333333333,11253.55,6563.983333333334,3623.633333333333,3655.9166666666665,10497.616666666667,5789.633333333333,2543.4666666666667,2417.9,2648.3333333333335,3695.65,11383.416666666666,3419.1,4673.316666666667,2964.483333333333,2601.0833333333335,7669.433333333333,1813.1666666666667,3395.116666666667,5987.55,4475.666666666667,4301.466666666666,3111.4333333333334,5402.916666666667,5947.833333333333,3478.95,2408.1,8885.166666666666,1937.7,3165.4333333333334,5711.016666666666,3003.55,3622.2,3226.9,3904.9666666666667,5424.583333333333,3107.2833333333333,5195.983333333334,4139.966666666666,3120.25,3924.15,4798.583333333333,3317.133333333333,12287.916666666666,6832.716666666666,7093.6,2445.983333333333,4009.233333333333,6726.35,6368.783333333334,5351.683333333333,8147.716666666666,3311.5666666666666,5200.483333333334,4950.566666666667,3332.5666666666666,2439.233333333333,7013.083333333333,5920.7,6738.083333333333,5848.466666666666,3813.616666666667,1186.9833333333333,5774.2,9511.866666666667,3766.2833333333333,6232.85,9374.233333333334,10196.266666666666,3821.4,5905.2,2225.0333333333333,2416.65,3842.4166666666665,3944.4333333333334,6801.566666666667,6780.9,6462.966666666666,6334.45,4552.716666666666,5584.466666666666,3665.25,4600.216666666666,6139.0,5985.533333333334,6508.216666666666,5343.7,2736.8166666666666,5412.65,6086.883333333333,3661.25,6518.033333333334,3952.9333333333334,2380.7,5527.866666666667,3256.2,2749.266666666667,7327.866666666667,5149.483333333334,4830.45,411.65,2498.766666666667,5135.916666666667,7710.5,5431.133333333333,10105.583333333334,648.75,4719.933333333333,2748.05,3515.05,5251.783333333334,8409.55,1563.0333333333333,13045.1,4537.483333333334,5021.633333333333,9477.483333333334,6947.433333333333,6608.2,2852.95,3096.5,3315.4666666666667,1765.8833333333334,4829.966666666666,11255.733333333334,3510.7833333333333,3096.4166666666665,6589.716666666666,3800.633333333333,3477.483333333333,8388.016666666666,2784.1833333333334,6961.366666666667,12934.416666666666,7556.6
Barstow,12211.016666666666,2712.866666666667,2849.45,10154.4,3158.9666666666667,3259.85,0.0,2609.5833333333335,2710.766666666667,4593.716666666666,3959.6833333333334,4198.733333333334,9713.85,11697.033333333333,4350.283333333334,5680.766666666666,5419.033333333334,10980.783333333333,2788.5,9331.816666666668,9950.983333333334,2828.6,17661.633333333335,2928.8,9494.45,9969.5,3929.0333333333333,4163.533333333334,4490.216666666666,9642.916666666666,2390.5833333333335,15924.133333333333,10062.333333333334,12219.233333333334,9704.383333333333,1679.3,1711.5833333333333,13638.016666666666,8936.066666666668,5683.85,5558.283333333334,5788.716666666666,2547.866666666667,14523.816666666668,2822.133333333333,7819.75,2710.9666666666667,4490.65,10809.816666666668,4953.55,2896.45,9133.983333333334,2471.85,7447.883333333333,2783.5666666666666,2563.6,9088.216666666667,6625.366666666667,1668.5666666666666,12025.566666666668,1760.9666666666667,2604.85,8851.4,5421.9,2844.733333333333,2741.45,7045.35,8571.016666666666,6247.683333333333,8336.383333333333,7280.35,6260.633333333333,7064.55,7938.983333333334,2536.75,13474.933333333332,9973.116666666667,3765.2,2437.0333333333333,2064.9,9872.783333333333,9515.216666666667,3388.25,11288.116666666667,3532.016666666667,2361.1833333333334,2205.483333333333,2428.0666666666666,5518.633333333333,10159.5,9061.1,9671.85,8988.866666666667,2055.3,4109.333333333333,3793.366666666667,10523.766666666666,1821.9333333333334,4252.033333333334,12514.633333333333,13164.816666666668,1817.5833333333333,9051.616666666667,5280.25,1709.8166666666666,1898.0833333333333,1972.7,9941.95,9921.283333333333,9603.35,9474.85,7699.133333333333,8724.85,1661.4166666666667,3193.5333333333333,4175.583333333333,4022.1,9654.65,8490.116666666667,5519.65,3431.766666666667,9233.3,3032.366666666667,4554.6,2683.366666666667,4257.95,8674.3,2990.8166666666666,3149.633333333333,10474.3,8295.9,7976.866666666667,3552.0333333333333,2899.133333333333,8276.383333333333,8391.25,8571.533333333333,10745.216666666667,3542.116666666667,2749.383333333333,3148.4,2964.8166666666666,8392.166666666666,9090.3,4679.383333333333,13596.983333333334,7677.866666666667,1957.1166666666666,12617.883333333333,10087.833333333334,9748.583333333334,2795.116666666667,3414.266666666667,760.75,4735.316666666667,7976.383333333333,14396.116666666667,2260.883333333333,2799.866666666667,9730.1,2750.2166666666667,2573.633333333333,11528.416666666666,2917.7166666666667,10101.75,14259.566666666668,10696.983333333334
Bell Gardens,13637.7,687.0166666666667,3000.4333333333334,10264.116666666667,3409.75,3391.2166666666667,2667.116666666667,0.0,183.38333333333333,6020.4,5232.583333333333,4541.766666666666,9823.566666666668,11806.75,2819.266666666667,5928.666666666667,5490.933333333333,11090.5,195.43333333333334,9441.533333333333,10022.883333333333,722.8333333333334,19008.683333333334,371.23333333333335,9566.35,10079.216666666667,4179.816666666667,2865.616666666667,4495.583333333333,9714.816666666668,280.23333333333335,16033.85,10172.05,13645.916666666666,9814.1,1007.45,1036.0,13747.733333333334,9007.966666666667,5931.75,5806.183333333333,6036.616666666667,369.56666666666666,14633.533333333333,229.06666666666666,7891.65,411.81666666666666,3039.5333333333333,10919.533333333333,5201.45,303.3833333333333,9205.883333333333,1799.1,7519.783333333334,348.6,2944.3,9246.466666666667,6521.716666666666,3330.35,12135.283333333333,1718.8166666666666,224.23333333333332,8961.116666666667,3970.85,300.05,216.63333333333333,7133.766666666666,8642.916666666666,6495.583333333333,8446.1,7528.25,6370.216666666666,7312.45,8048.7,103.21666666666667,14901.616666666667,10082.833333333334,6166.366666666667,948.9333333333333,966.9333333333333,9944.683333333332,9587.116666666667,2089.616666666667,11397.833333333334,1741.4,2741.883333333333,2491.9666666666667,369.21666666666664,5193.2,10231.4,9170.816666666668,9988.183333333332,9098.583333333334,697.3833333333333,4481.283333333334,2516.116666666667,11950.45,838.5,2951.766666666667,12624.35,13446.383333333333,1370.05,9123.516666666666,5613.316666666667,3371.6,1170.8833333333334,1321.0,10051.666666666666,10031.0,9713.066666666668,9584.566666666668,7771.033333333334,8972.75,1262.75,1274.1333333333334,2644.5,2491.0833333333335,9726.55,8562.016666666666,4935.116666666667,2267.766666666667,9305.2,439.3,3023.5833333333335,626.7833333333333,2806.766666666667,8746.2,475.6666666666667,1792.0666666666666,10546.2,8367.8,7873.216666666666,3799.95,1179.6666666666667,8524.216666666667,9817.933333333332,8681.25,12171.9,3566.3333333333335,1728.2666666666667,1280.4166666666667,371.75,8501.883333333333,10516.983333333334,4930.166666666667,15023.666666666666,7787.583333333333,3371.516666666667,12727.6,10197.55,9858.3,656.2333333333333,1884.0333333333333,1921.0666666666666,5064.45,8048.283333333334,14505.833333333334,400.8666666666667,372.8666666666667,9839.816666666668,460.8333333333333,156.01666666666668,11638.133333333333,826.35,10211.466666666667,15686.25,10806.7
Bellflower,13808.366666666667,844.5666666666667,3157.983333333333,10421.666666666666,3567.3,3548.766666666667,2769.633333333333,185.71666666666667,0.0,6191.066666666667,5246.35,4474.65,9981.116666666667,11964.3,2688.9333333333334,6086.216666666666,5648.483333333334,11248.05,114.26666666666667,9599.083333333334,10180.433333333332,582.3666666666667,19166.3,510.96666666666664,9723.9,10236.766666666666,4337.366666666667,2735.3,4428.466666666666,9872.366666666667,394.3,16191.333333333334,10329.6,13816.583333333334,9971.65,1109.9666666666667,1124.7833333333333,13905.283333333333,9165.516666666666,6089.3,5963.733333333334,6194.166666666667,273.98333333333335,14791.083333333334,203.78333333333333,8049.2,569.3666666666667,3197.0833333333335,11077.083333333334,5359.0,318.8,9363.433333333332,1731.9833333333333,7677.333333333333,506.15,2958.0666666666666,9404.016666666666,6679.266666666666,3501.016666666667,12292.833333333334,1889.4833333333333,389.0,9118.666666666666,4128.4,153.91666666666666,365.8,7291.316666666667,8800.466666666667,6653.133333333333,8603.65,7685.8,6527.766666666666,7470.0,8206.25,264.06666666666666,15072.283333333333,10240.383333333333,6246.45,1106.4833333333333,899.8166666666667,10102.233333333334,9744.666666666666,1959.3,11555.383333333333,1898.95,2755.45,2505.733333333333,522.05,5350.75,10388.95,9328.366666666667,10145.733333333334,9256.133333333333,721.1666666666666,4638.833333333333,2385.866666666667,12121.116666666667,941.0166666666667,2821.4333333333334,12781.9,13603.933333333332,1453.3666666666666,9281.066666666668,5770.866666666667,3542.266666666667,1103.7666666666667,1254.0833333333333,10209.216666666667,10188.55,9870.616666666667,9742.116666666667,7928.583333333333,9130.3,1365.2666666666667,1143.8166666666666,2514.233333333333,2360.766666666667,9884.1,8719.566666666668,5092.666666666667,2137.45,9462.75,363.73333333333335,2893.266666666667,496.0,2964.3166666666666,8903.75,603.3666666666667,1949.6166666666666,10703.75,8525.35,8030.766666666666,3957.483333333333,1337.2166666666667,8681.766666666666,9988.6,8838.866666666667,12342.566666666668,3723.883333333333,1661.15,1437.9666666666667,296.2,8659.433333333332,10687.65,5087.716666666666,15194.333333333334,7945.133333333333,3451.6,12885.15,10355.1,10015.85,813.7833333333333,2041.5833333333333,2023.5833333333333,5222.0,8205.833333333334,14663.383333333333,503.3833333333333,530.4166666666666,9997.366666666667,311.96666666666664,221.25,11795.683333333332,983.9,10369.016666666666,15856.916666666666,10964.25
Bishop,7656.866666666667,5336.866666666667,4611.516666666666,5767.133333333333,4527.283333333334,4668.3,4510.866666666667,5917.316666666667,6085.916666666667,0.0,8401.683333333332,8669.7,5858.633333333333,7502.466666666666,8133.8,3502.1,4787.45,7151.516666666666,6093.0,6489.3,7236.766666666666,6574.233333333334,13107.483333333334,5811.9,7580.35,6218.883333333333,4222.533333333334,7947.066666666667,8961.166666666666,7634.183333333333,5783.95,11736.033333333333,6788.716666666666,7665.083333333333,5701.916666666667,5451.833333333333,5484.116666666667,9884.333333333334,7295.583333333333,3600.65,3533.05,3664.0833333333335,6220.766666666666,10770.133333333333,6092.083333333333,5998.6,5530.666666666667,7013.216666666666,6179.616666666667,3842.4,5961.3,7449.266666666666,6255.366666666667,5810.5,5677.616666666667,7034.55,5318.283333333334,6060.166666666667,2937.866666666667,8271.883333333333,4396.166666666667,5791.783333333334,5449.05,7497.083333333333,6197.616666666667,5793.066666666667,4873.016666666666,6930.533333333334,4074.0666666666666,5257.316666666667,3410.7166666666667,4314.933333333333,4125.433333333333,4408.833333333333,5828.6,8920.783333333333,7130.6,7846.8,5012.15,5837.433333333333,7491.483333333334,6886.55,7171.766666666666,6889.183333333333,6054.583333333333,6832.133333333333,6676.433333333333,5638.683333333333,5965.366666666667,7778.216666666666,6218.583333333333,5088.95,6150.283333333334,5827.833333333333,3672.8333333333335,7576.9,5940.866666666667,5594.466666666666,8035.55,8335.833333333334,8610.666666666666,5601.1,7137.516666666666,3284.95,2897.7166666666667,5670.616666666667,5756.216666666666,5866.633333333333,5899.2,5861.533333333334,5843.766666666666,6306.533333333334,4649.033333333334,5444.933333333333,6966.066666666667,7959.1,7805.616666666667,7740.55,6576.016666666666,6872.683333333333,7215.283333333334,7319.216666666666,6336.866666666667,8338.116666666667,6455.9,6780.516666666666,6760.2,5822.383333333333,5672.2,8008.983333333334,6381.816666666667,6669.8,4644.083333333333,5421.7,4044.733333333333,3808.3333333333335,5491.883333333333,6191.066666666667,5287.183333333333,6532.9,5670.966666666666,6081.216666666666,5536.516666666666,4507.383333333333,3646.4333333333334,9042.833333333334,4369.85,6382.45,8864.2,6685.283333333334,6906.066666666667,5419.116666666667,5936.833333333333,4712.366666666667,3401.8333333333335,6364.833333333333,9724.0,5941.016666666666,5662.6,5979.5,6325.75,5994.85,7774.733333333334,5505.7,6348.066666666667,9705.416666666666,6669.466666666666
