population,zip_code
4824,96101
99804,91331
20781,93203
28366,95603
13672,93301
59924,93313
34226,92311
95134,90201
78352,90706
14692,93514
21189,92225
27540,92227
63715,95608
42362,95926
76313,91910
46620,93611
18937,93210
7789,95932
52119,90221
36699,94520
10155,94925
62181,92627
23029,95531
54142,90066
65125,94015
52090,95616
53334,93215
59775,92020
49193,92243
26483,94530
28201,91731
24072,95503
78129,94533
1805,96028
76599,95630
100571,92336
96704,92335
14865,95437
71445,94536
17892,93728
26568,93725
32730,93710
26040,92832
1337,95560
11453,90248
68365,95020
22163,91201
53345,93117
27388,95945
68572,93230
96200,90250
77712,94544
38403,92543
57367,95023
27979,90038
64325,92201
7152,95642
16807,93930
33490,93555
33490,93555
11254,95453
72131,93536
37457,90031
50245,95240
55591,93436
42759,90815
41004,90007
47683,93635
13373,95030
41324,93637
44192,95337
10102,95338
14162,93640
34541,95341
25100,95354
62294,90640
7321,96067
65084,94558
5447,92363
34305,91321
25367,92860
17309,94945
17285,94618
54190,92056
20835,95965
82517,93033
26741,92211
25856,92262
32581,91107
45720,93446
38201,94954
100826,94565
36084,95667
35162,94588
69517,91766
79217,93257
48783,92064
5931,95971
71040,91730
45937,92019
31190,96080
34721,96001
44976,92374
34807,94063
30476,93654
44344,92506
60949,92507
28591,95677
45210,95678
36024,95820
82983,95823
66883,93906
4908,95249
64090,92404
38020,92672
34296,92103
54499,92117
39496,94117
20314,95110
28773,93401
46648,92069
35392,94401
63431,90731
83758,92154
49462,92701
29870,93101
60499,95051
23975,90404
34337,93060
37437,95404
10461,95119
32610,93955
22952,93263
57075,93063
28548,95370
29457,96150
16237,95203
21460,96130
17124,93268
5212,92590
36770,91362
42536,90501
15235,95304
19146,96161
78831,93274
2236,96134
38727,95382
27370,92277
34183,95482
68996,95687
37991,94590
55451,91405
53283,93003
48479,92395
44759,93292
83716,95076
3959,96093
44855,91790
48170,90046
39961,95691
90630,92683
41427,90605
8748,95988
49460,91306
26352,95776
10154,96097
37222,95993
