office_name,address,latitude,longitude,zip_code,zip_area_name,appointment_wait_minutes,walkin_wait_minutes,appointment_wait_str,walkin_wait_str,has_coordinates,processing_date
Alturas,"903 W C St, Alturas, CA 96101",41.4919116,-120.5498434,96101,Alturas,0,0,0,0,TRUE,7/6/25 21:35
Arleta,"14400 Van Nuys Blvd, Arleta, CA 91331",34.2479119,-118.4452195,91331,Pacoima,23,79,23,79,TRUE,7/6/25 21:35
Arvin,"317 Campus Dr., Arvin, CA 93203",35.2112669,-118.8333219,93203,Arvin,28,88,28,88,TRUE,7/6/25 21:35
Auburn,"11722 Enterprise Dr, Auburn, CA 95603",38.9069626,-121.082718,95603,Auburn,0,0,0,0,TRUE,7/6/25 21:35
Bakersfield,"3120 F Street, Bakersfield, CA 93301",35.3878084,-119.0233475,93301,Bakersfield,27,80,27,80,TRUE,7/6/25 21:35
Bakersfield Southwest,"7000 Schirra Ct, Bakersfield, CA 93313",35.3166949,-119.0824896,93313,Bakersfield,32,105,32,105,TRUE,7/6/25 21:35
Barstow,"528 E Virginia Way, Barstow, CA 92311",34.8880583,-117.0221984,92311,Barstow,33,108,33,108,TRUE,7/6/25 21:35
Bell Gardens,"6801 South Garfield, Bell Gardens, CA 90201",33.9699,-118.1497,90201,Bell Gardens,25,77,25,77,TRUE,7/6/25 21:35
Bellflower,"9520 Artesia Blvd, Bellflower, CA 90706",33.8735882,-118.1312064,90706,Bellflower,22,95,22,95,TRUE,7/6/25 21:35
Bishop,"1115 West Line Street, Bishop, CA 93514",37.3612988,-118.4125946,93514,Bishop,20,75,20,75,TRUE,7/6/25 21:35
Blythe,"430 S Broadway, Blythe, CA 92225",33.604257,-114.5965797,92225,Blythe,0,0,0,0,TRUE,7/6/25 21:35
Brawley,"1175 East Main Street, Brawley, CA 92227",32.9687,-115.5349,92227,Brawley,24,88,24,88,TRUE,7/6/25 21:35
Carmichael,"5209 North Ave, Carmichael, CA 95608",38.6246816,-121.3428488,95608,Carmichael,39,207,39,207,TRUE,7/6/25 21:35
Chico,"107 Parmac Rd #1, Chico, CA 95926",39.753,-121.8501,95926,Chico,0,0,0,0,TRUE,7/6/25 21:35
Chula Vista,"30 N Glover Avenue, Chula Vista, CA 91910",32.6515568,-117.0871361,91910,Chula Vista,19,65,19,65,TRUE,7/6/25 21:35
Clovis,"2103 Shaw Avenue, Clovis, CA 93611",36.8086485,-119.6757907,93611,Clovis,29,112,29,112,TRUE,7/6/25 21:35
Coalinga,"406 East Elm Avenue, Coalinga, CA 93210",36.1498381,-120.3544685,93210,Coalinga,0,0,0,0,TRUE,7/6/25 21:35
Colusa,"1025 Bridge St. STE B, Colusa, CA 95932",39.2034,-122.003,95932,Colusa,0,0,0,0,TRUE,7/6/25 21:35
Compton,"2111 South Santa Fe Avenue, Compton, CA 90221",33.8755428,-118.2147594,90221,Compton,27,92,27,92,TRUE,7/6/25 21:35
Concord,"2070 Diamond Boulevard, Concord, CA 94520",37.974272,-122.058025,94520,Concord,33,176,33,176,TRUE,7/6/25 21:35
Corte Madera,"75 Tamal Vista Boulevard, Corte Madera, CA 94925",37.9347626,-122.5175269,94925,Corte Madera,0,0,0,0,TRUE,7/6/25 21:35
Costa Mesa,"650 W. 19th Street, Costa Mesa, CA 92627",33.6441741,-117.9255301,92627,Costa Mesa,30,76,30,76,TRUE,7/6/25 21:35
Crescent City,"1475 Parkway Drive, Crescent City, CA 95531",41.7722968,-124.185051,95531,Crescent City,0,0,0,0,TRUE,7/6/25 21:35
Culver City,"11400 W Washington Blvd, Culver City, CA 90066",34.0022526,-118.4152258,90066,Los Angeles,23,80,23,80,TRUE,7/6/25 21:35
Daly City,"1500 Sullivan Avenue, Daly City, CA 94015",37.6892897,-122.4728201,94015,Daly City,0,0,0,0,TRUE,7/6/25 21:35
Davis,"505 Pole Line Road, Davis, CA 95616",38.5493362,-121.7272127,95616,Davis,44,137,44,137,TRUE,7/6/25 21:35
Delano,"631 Jefferson Street, Delano, CA 93215",35.7645253,-119.243305,93215,Delano,7,36,7,36,TRUE,7/6/25 21:35
El Cajon,"1450 Graves Avenue, El Cajon, CA 92021",32.817075,-116.959607,92020,El Cajon,32,87,32,87,TRUE,7/6/25 21:35
El Centro,"233 N. Imperial Avenue, El Centro, CA 92243",32.7941972,-115.5700878,92243,El Centro,25,67,25,67,TRUE,7/6/25 21:35
El Cerrito,"6400 Manila Avenue, El Cerrito, CA 94530",37.9160941,-122.3101953,94530,El Cerrito,34,104,34,104,TRUE,7/6/25 21:35
El Monte,"4000 Arden Drive, El Monte, CA 91731",34.080506,-118.0447674,91731,El Monte,33,162,33,162,TRUE,7/6/25 21:35
Eureka,"3300 Broadway St, Eureka, CA 95501",40.7796486,-124.1902331,95503,Eureka,0,0,0,0,TRUE,7/6/25 21:35
Fairfield,"160 Serrano Drive, Fairfield, CA 94533",38.2467028,-122.0729446,94533,Fairfield,36,165,36,165,TRUE,7/6/25 21:35
Fall River Mills,"43467 Hwy 299E, Fall River Mills, CA 96028",41.0197,-121.4281,96028,Fall River Mills,0,0,0,0,TRUE,7/6/25 21:35
Folsom,"323 E Bidwell A, Folsom, CA 95630",38.6714289,-121.1765913,95630,Folsom,39,146,39,146,TRUE,7/6/25 21:35
Fontana,"8026 Hemlock Ave, Fontana, CA 92336",34.1077645,-117.4769676,92336,Fontana,24,131,24,131,TRUE,7/6/25 21:35
Fontana Commercial Drive Test Center,"10207 Poplar Ave, Fontana, CA 92335",34.0677593,-117.4618815,92335,Fontana,0,65,0,65,TRUE,7/6/25 21:35
Fort Bragg,"410 S. Franklin Street, Fort Bragg, CA 95437",39.43784,-123.8044686,95437,Fort Bragg,0,0,0,0,TRUE,7/6/25 21:35
Fremont,"4287 Central Avenue, Fremont, CA 94536",37.553337,-122.0071941,94536,Fremont,0,0,0,0,TRUE,7/6/25 21:35
Fresno,"655 W. Olive Avenue, Fresno, CA 93728",36.7574376,-119.8193749,93728,Fresno,21,75,21,75,TRUE,7/6/25 21:35
Fresno Commercial Drive Test Center,"735 E North Ave, Fresno, CA 93725",36.692501,-119.7626569,93725,Fresno,18,49,18,49,TRUE,7/6/25 21:35
Fresno North,"6420 N Blackstone Avenue, Fresno, CA 93710",36.8305516,-119.790171,93710,Fresno,20,72,20,72,TRUE,7/6/25 21:35
Fullerton,"909 W. Valencia Drive, Fullerton, CA 92832",33.8666973,-117.9389056,92832,Fullerton,37,133,37,133,TRUE,7/6/25 21:35
Garberville,"1180 Evergreen Rd, Redway, CA 95560",40.1207,-123.8005,95560,Redway,0,0,0,0,TRUE,7/6/25 21:35
Gardena Commercial Drive Test Center,"14825 S Avalon Blvd, Gardena, CA 90248",33.8971568,-118.2659639,90248,Gardena,0,47,0,47,TRUE,7/6/25 21:35
Gilroy,"6984 Automall Parkway Suite A, Gilroy, CA 95020",37.0016,-121.5588,95020,Gilroy,0,0,0,0,TRUE,7/6/25 21:35
Glendale,"1335 W. Glenoaks Boulevard, Glendale, CA 91201",34.1665512,-118.2836931,91201,Glendale,20,68,20,68,TRUE,7/6/25 21:35
Goleta,"7127 Hollister Avenue Suite 24/26, Goleta, CA 93117",34.4289,-119.8766,93117,Goleta,20,52,20,52,TRUE,7/6/25 21:35
Grass Valley,"890 Sutton Way, Grass Valley, CA 95945",39.2300753,-121.0347687,95945,Grass Valley,0,0,0,0,TRUE,7/6/25 21:35
Hanford,"701 W. Hanford Armona Road (corner of W. Armona), Hanford, CA 93230",36.3277,-119.6459,93230,Hanford,35,103,35,103,TRUE,7/6/25 21:35
Hawthorne,"3700 W. El Segundo Boulevard, Hawthorne, CA 90250",33.915485,-118.3381227,90250,Hawthorne,34,142,34,142,TRUE,7/6/25 21:35
Hayward,"150 Jackson Street, Hayward, CA 94544",37.658726,-122.0861069,94544,Hayward,0,0,0,0,TRUE,7/6/25 21:35
Hemet,"1200 S State St, Hemet, CA 92543",33.7366551,-116.9716073,92543,Hemet,35,59,35,59,TRUE,7/6/25 21:35
Hollister,"80 N. Sally Street, Hollister, CA 95023",36.8580951,-121.3999161,95023,Hollister,0,0,0,0,TRUE,7/6/25 21:35
Hollywood,"803 Cole Avenue, Hollywood, CA 90038",34.0855658,-118.3302512,90038,Los Angeles,16,63,16,63,TRUE,7/6/25 21:35
Indio,"44480 Jackson St, Indio, CA 92201",33.7260855,-116.2162076,92201,Indio,14,48,14,48,TRUE,7/6/25 21:35
Jackson,"201 Clinton Road, Jackson, CA 95642",38.341867,-120.76414,95642,Jackson,22,85,22,85,TRUE,7/6/25 21:35
King City,"101 E San Antonio Dr, King City, CA 93930",36.22174,-121.127408,93930,King City,0,0,0,0,TRUE,7/6/25 21:35
Lake Isabella,"5520 Lake Isabella Road G-1, Lake Isabella, CA 93240",35.6225,-117.6709,93555,Ridgecrest,0,0,0,0,TRUE,7/6/25 21:35
Lakeport,"965 Parallel Drive, Lakeport, CA 95453",39.0362192,-122.9270646,95453,Lakeport,0,0,0,0,TRUE,7/6/25 21:35
Lancaster,"721 W Ave L6, Lancaster, CA 93535",34.654619,-118.2577117,93536,Lancaster,19,80,19,80,TRUE,7/6/25 21:35
Lincoln Park,"3529 N. Mission Road, Los Angeles, CA 90031",34.0680072,-118.2029627,90031,Los Angeles,31,89,31,89,TRUE,7/6/25 21:35
