ZIP_CODE,ZIP_NAME,STATUS,INTERSECTING_TRIANGLES_COUNT,INTERSECTING_SIMPLICES
00012,Mt Meadows Area,UNDERSERVED,1,"[{'simplex_id': 7, 'office_names': ['Susanville', 'Red Bluff', 'Chico']}]"
00016,Sequoia National Forest,NOT UNDERSERVED,0,None
00017,Northeast Fresno County,UNDERSERVED,1,"[{'simplex_id': 1, 'office_names': ['Mariposa', 'Bishop', 'Arvin']}]"
00018,Los Padres Ntl Forest,NOT UNDERSERVED,0,None
00019,Lassen Ntl Forest,NOT UNDERSERVED,0,None
00020,Sierra National Forest,UNDERSERVED,1,"[{'simplex_id': 1, 'office_names': ['Mariposa', 'Bishop', 'Arvin']}]"
00022,Jackson St Forest,NOT UNDERSERVED,0,None
00026,East Tulare County,UNDERSERVED,1,"[{'simplex_id': 1, 'office_names': ['Mariposa', 'Bishop', 'Arvin']}]"
00028,Plumas Ntl Forest,NOT UNDERSERVED,0,None
00029,Tahoe National Forest,UNDERSERVED,1,"[{'simplex_id': 8, 'office_names': ['Truckee', 'Quincy', 'Oroville']}]"
00031,Lassen National Forest,UNDERSERVED,1,"[{'simplex_id': 7, 'office_names': ['Susanville', 'Red Bluff', 'Chico']}]"
00032,Los Padres Ntl Forest,UNDERSERVED,1,"[{'simplex_id': 5, 'office_names': ['Taft', 'Santa Barbara', 'San Luis Obispo']}]"
00033,Tahoe National Forest,NOT UNDERSERVED,0,None
00034,Klamath National Forest,NOT UNDERSERVED,0,None
00035,Modoc/Shasta/Klamath Forest,NOT UNDERSERVED,0,None
00037,West Tehama County,NOT UNDERSERVED,0,None
00038,East Tehama County,UNDERSERVED,1,"[{'simplex_id': 7, 'office_names': ['Susanville', 'Red Bluff', 'Chico']}]"
00039,Southeast Trinity County,NOT UNDERSERVED,0,None
00040,Yosemite Ntl Park,NOT UNDERSERVED,0,None
00044,South Alpine County,UNDERSERVED,1,"[{'simplex_id': 0, 'office_names': ['Truckee', 'South Lake Tahoe', 'Bishop']}]"
00047,West Glenn County,NOT UNDERSERVED,0,None
00048,Mendocino Ntl Forest,NOT UNDERSERVED,0,None
00049,Six Rivers National Forest,UNDERSERVED,1,"[{'simplex_id': 2, 'office_names': ['Yreka', 'Weaverville', 'Crescent City']}]"
00050,Six Rivers Ntl Forest,UNDERSERVED,1,"[{'simplex_id': 2, 'office_names': ['Yreka', 'Weaverville', 'Crescent City']}]"
00051,Eldorado Ntl Forest,UNDERSERVED,1,"[{'simplex_id': 12, 'office_names': ['Truckee', 'South Lake Tahoe', 'Placerville']}]"
00052,Eldorado Ntl Forest,NOT UNDERSERVED,0,None
00054,Six Rivers Ntl Forest,NOT UNDERSERVED,0,None
00055,Trinity Ntl Forest,UNDERSERVED,1,"[{'simplex_id': 2, 'office_names': ['Yreka', 'Weaverville', 'Crescent City']}]"
00057,Channel Islands National Park,NOT UNDERSERVED,0,None
00058,Yosemite Ntl Park,NOT UNDERSERVED,0,None
00061,Channel Is Air Guard Station,NOT UNDERSERVED,0,None
00065,Plumas National Park,UNDERSERVED,1,"[{'simplex_id': 8, 'office_names': ['Truckee', 'Quincy', 'Oroville']}]"
90001,Los Angeles,NOT UNDERSERVED,0,None
90002,Los Angeles,NOT UNDERSERVED,0,None
90003,Los Angeles,NOT UNDERSERVED,0,None
90004,Los Angeles,NOT UNDERSERVED,0,None
90005,Los Angeles,NOT UNDERSERVED,0,None
90006,Los Angeles,NOT UNDERSERVED,0,None
90007,Los Angeles,NOT UNDERSERVED,0,None
90008,Los Angeles,NOT UNDERSERVED,0,None
90011,Los Angeles,NOT UNDERSERVED,0,None
90012,Los Angeles,NOT UNDERSERVED,0,None
90013,Los Angeles,NOT UNDERSERVED,0,None
90014,Los Angeles,NOT UNDERSERVED,0,None
90015,Los Angeles,NOT UNDERSERVED,0,None
90016,Los Angeles,NOT UNDERSERVED,0,None
90017,Los Angeles,NOT UNDERSERVED,0,None
90018,Los Angeles,NOT UNDERSERVED,0,None
90019,Los Angeles,NOT UNDERSERVED,0,None
90020,Los Angeles,NOT UNDERSERVED,0,None
90021,Los Angeles,NOT UNDERSERVED,0,None
90022,Los Angeles,NOT UNDERSERVED,0,None
90023,Los Angeles,NOT UNDERSERVED,0,None
