#,Birth,Death,Persistence,Death simplex,Also in appointment
1,134.5,187.5,53.0,"Weaverville, Redding, Eureka",True
2,162.8,198.7,35.9,"Taft, Santa Barbara, Goleta",False
3,91.5,127.4,35.9,"Susanville, Red Bluff, Chico",True
4,108.1,138.1,30.0,"San Andreas, Pleasanton, Mariposa",False
5,178.1,206.3,28.2,"Rancho San Diego Industry Business Center, Indio, Fontana Commercial Drive Test Center",False
6,86.0,110.8,24.8,"Novato, Lakeport, Colusa",True
7,84.1,108.9,24.7,"Mendota, Hollister, Coalinga",False
8,179.8,199.8,20.0,"Yreka, Weaverville, Crescent City",True
9,98.0,116.9,18.8,"Truckee, Quincy, Oroville",True
10,44.9,55.1,10.1,"Yuba City, Oroville, Colusa",True
11,23.5,32.3,8.8,"San Mateo, Oakland, Fremont",True
12,114.7,121.6,6.9,"Tulare, Delano, Coalinga",False
13,31.9,32.5,0.6,"Watsonville, Seaside, Salinas",True
14,183.0,183.4,0.4,"Rancho San Diego Industry Business Center, Hemet, Fontana Commercial Drive Test Center",False
15,31.2,31.3,0.1,"Santa Clara, San Jose, Redwood City",True
